array_index	canonical_run_id	dataset	runner_model_value	model_slug	condition_value	condition_slug	target_value	target_slug	split_index	split_seed	init_seed	output_dir
0	htpmd__dmpnn__conda_native__conductivity__split00_seed42__init42	htpmd	dmpnn	dmpnn	native	conda_native	Conductivity	conductivity	0	42	42	results/year2_corrected_final_2026/htpmd/htpmd__dmpnn__conda_native__conductivity__split00_seed42__init42
1	htpmd__dmpnn__conda_native__conductivity__split01_seed43__init42	htpmd	dmpnn	dmpnn	native	conda_native	Conductivity	conductivity	1	43	42	results/year2_corrected_final_2026/htpmd/htpmd__dmpnn__conda_native__conductivity__split01_seed43__init42
2	htpmd__dmpnn__conda_native__conductivity__split02_seed44__init42	htpmd	dmpnn	dmpnn	native	conda_native	Conductivity	conductivity	2	44	42	results/year2_corrected_final_2026/htpmd/htpmd__dmpnn__conda_native__conductivity__split02_seed44__init42
3	htpmd__dmpnn__conda_native__conductivity__split03_seed45__init42	htpmd	dmpnn	dmpnn	native	conda_native	Conductivity	conductivity	3	45	42	results/year2_corrected_final_2026/htpmd/htpmd__dmpnn__conda_native__conductivity__split03_seed45__init42
4	htpmd__dmpnn__conda_native__conductivity__split04_seed46__init42	htpmd	dmpnn	dmpnn	native	conda_native	Conductivity	conductivity	4	46	42	results/year2_corrected_final_2026/htpmd/htpmd__dmpnn__conda_native__conductivity__split04_seed46__init42
5	htpmd__dmpnn__conda_native__tfsi_diffusivity__split00_seed42__init42	htpmd	dmpnn	dmpnn	native	conda_native	TFSI Diffusivity	tfsi_diffusivity	0	42	42	results/year2_corrected_final_2026/htpmd/htpmd__dmpnn__conda_native__tfsi_diffusivity__split00_seed42__init42
6	htpmd__dmpnn__conda_native__tfsi_diffusivity__split01_seed43__init42	htpmd	dmpnn	dmpnn	native	conda_native	TFSI Diffusivity	tfsi_diffusivity	1	43	42	results/year2_corrected_final_2026/htpmd/htpmd__dmpnn__conda_native__tfsi_diffusivity__split01_seed43__init42
7	htpmd__dmpnn__conda_native__tfsi_diffusivity__split02_seed44__init42	htpmd	dmpnn	dmpnn	native	conda_native	TFSI Diffusivity	tfsi_diffusivity	2	44	42	results/year2_corrected_final_2026/htpmd/htpmd__dmpnn__conda_native__tfsi_diffusivity__split02_seed44__init42
8	htpmd__dmpnn__conda_native__tfsi_diffusivity__split03_seed45__init42	htpmd	dmpnn	dmpnn	native	conda_native	TFSI Diffusivity	tfsi_diffusivity	3	45	42	results/year2_corrected_final_2026/htpmd/htpmd__dmpnn__conda_native__tfsi_diffusivity__split03_seed45__init42
9	htpmd__dmpnn__conda_native__tfsi_diffusivity__split04_seed46__init42	htpmd	dmpnn	dmpnn	native	conda_native	TFSI Diffusivity	tfsi_diffusivity	4	46	42	results/year2_corrected_final_2026/htpmd/htpmd__dmpnn__conda_native__tfsi_diffusivity__split04_seed46__init42
10	htpmd__dmpnn__conda_native__li_diffusivity__split00_seed42__init42	htpmd	dmpnn	dmpnn	native	conda_native	Li Diffusivity	li_diffusivity	0	42	42	results/year2_corrected_final_2026/htpmd/htpmd__dmpnn__conda_native__li_diffusivity__split00_seed42__init42
11	htpmd__dmpnn__conda_native__li_diffusivity__split01_seed43__init42	htpmd	dmpnn	dmpnn	native	conda_native	Li Diffusivity	li_diffusivity	1	43	42	results/year2_corrected_final_2026/htpmd/htpmd__dmpnn__conda_native__li_diffusivity__split01_seed43__init42
12	htpmd__dmpnn__conda_native__li_diffusivity__split02_seed44__init42	htpmd	dmpnn	dmpnn	native	conda_native	Li Diffusivity	li_diffusivity	2	44	42	results/year2_corrected_final_2026/htpmd/htpmd__dmpnn__conda_native__li_diffusivity__split02_seed44__init42
13	htpmd__dmpnn__conda_native__li_diffusivity__split03_seed45__init42	htpmd	dmpnn	dmpnn	native	conda_native	Li Diffusivity	li_diffusivity	3	45	42	results/year2_corrected_final_2026/htpmd/htpmd__dmpnn__conda_native__li_diffusivity__split03_seed45__init42
14	htpmd__dmpnn__conda_native__li_diffusivity__split04_seed46__init42	htpmd	dmpnn	dmpnn	native	conda_native	Li Diffusivity	li_diffusivity	4	46	42	results/year2_corrected_final_2026/htpmd/htpmd__dmpnn__conda_native__li_diffusivity__split04_seed46__init42
15	htpmd__dmpnn__conda_native__polymer_diffusivity__split00_seed42__init42	htpmd	dmpnn	dmpnn	native	conda_native	Poly Diffusivity	polymer_diffusivity	0	42	42	results/year2_corrected_final_2026/htpmd/htpmd__dmpnn__conda_native__polymer_diffusivity__split00_seed42__init42
16	htpmd__dmpnn__conda_native__polymer_diffusivity__split01_seed43__init42	htpmd	dmpnn	dmpnn	native	conda_native	Poly Diffusivity	polymer_diffusivity	1	43	42	results/year2_corrected_final_2026/htpmd/htpmd__dmpnn__conda_native__polymer_diffusivity__split01_seed43__init42
17	htpmd__dmpnn__conda_native__polymer_diffusivity__split02_seed44__init42	htpmd	dmpnn	dmpnn	native	conda_native	Poly Diffusivity	polymer_diffusivity	2	44	42	results/year2_corrected_final_2026/htpmd/htpmd__dmpnn__conda_native__polymer_diffusivity__split02_seed44__init42
18	htpmd__dmpnn__conda_native__polymer_diffusivity__split03_seed45__init42	htpmd	dmpnn	dmpnn	native	conda_native	Poly Diffusivity	polymer_diffusivity	3	45	42	results/year2_corrected_final_2026/htpmd/htpmd__dmpnn__conda_native__polymer_diffusivity__split03_seed45__init42
19	htpmd__dmpnn__conda_native__polymer_diffusivity__split04_seed46__init42	htpmd	dmpnn	dmpnn	native	conda_native	Poly Diffusivity	polymer_diffusivity	4	46	42	results/year2_corrected_final_2026/htpmd/htpmd__dmpnn__conda_native__polymer_diffusivity__split04_seed46__init42
20	htpmd__dmpnn__conda_native__transference_number__split00_seed42__init42	htpmd	dmpnn	dmpnn	native	conda_native	Transference Number	transference_number	0	42	42	results/year2_corrected_final_2026/htpmd/htpmd__dmpnn__conda_native__transference_number__split00_seed42__init42
21	htpmd__dmpnn__conda_native__transference_number__split01_seed43__init42	htpmd	dmpnn	dmpnn	native	conda_native	Transference Number	transference_number	1	43	42	results/year2_corrected_final_2026/htpmd/htpmd__dmpnn__conda_native__transference_number__split01_seed43__init42
22	htpmd__dmpnn__conda_native__transference_number__split02_seed44__init42	htpmd	dmpnn	dmpnn	native	conda_native	Transference Number	transference_number	2	44	42	results/year2_corrected_final_2026/htpmd/htpmd__dmpnn__conda_native__transference_number__split02_seed44__init42
23	htpmd__dmpnn__conda_native__transference_number__split03_seed45__init42	htpmd	dmpnn	dmpnn	native	conda_native	Transference Number	transference_number	3	45	42	results/year2_corrected_final_2026/htpmd/htpmd__dmpnn__conda_native__transference_number__split03_seed45__init42
24	htpmd__dmpnn__conda_native__transference_number__split04_seed46__init42	htpmd	dmpnn	dmpnn	native	conda_native	Transference Number	transference_number	4	46	42	results/year2_corrected_final_2026/htpmd/htpmd__dmpnn__conda_native__transference_number__split04_seed46__init42
25	htpmd__dmpnn__condb_dop__conductivity__split00_seed42__init42	htpmd	dmpnn	dmpnn	dop	condb_dop	Conductivity	conductivity	0	42	42	results/year2_corrected_final_2026/htpmd/htpmd__dmpnn__condb_dop__conductivity__split00_seed42__init42
26	htpmd__dmpnn__condb_dop__conductivity__split01_seed43__init42	htpmd	dmpnn	dmpnn	dop	condb_dop	Conductivity	conductivity	1	43	42	results/year2_corrected_final_2026/htpmd/htpmd__dmpnn__condb_dop__conductivity__split01_seed43__init42
27	htpmd__dmpnn__condb_dop__conductivity__split02_seed44__init42	htpmd	dmpnn	dmpnn	dop	condb_dop	Conductivity	conductivity	2	44	42	results/year2_corrected_final_2026/htpmd/htpmd__dmpnn__condb_dop__conductivity__split02_seed44__init42
