mae,rmse,r2,target,split
4.2041667924763715e-09,5.395591709957954e-09,0.9833715977677006,Li Diffusivity,0
4.461206959405217e-09,5.745880609927711e-09,0.9810745668701748,Li Diffusivity,1
4.1840850784069525e-09,5.2422856468177054e-09,0.9843025106776724,Li Diffusivity,2
4.377428641788583e-09,5.629895623550418e-09,0.9818615341109352,Li Diffusivity,3
4.262823871670207e-09,5.685920840626212e-09,0.9815500379975598,Li Diffusivity,4
6.115275397178266e-09,8.374637091142385e-09,0.9631912873960902,TFSI Diffusivity,0
6.42877173717693e-09,8.887293327092405e-09,0.9584349579024424,TFSI Diffusivity,1
6.614515157821188e-09,8.970299353262494e-09,0.9583488569244916,TFSI Diffusivity,2
6.702360000332419e-09,9.010922845359957e-09,0.9569567059964728,TFSI Diffusivity,3
6.60861454448991e-09,9.212218273672868e-09,0.9559537068255392,TFSI Diffusivity,4
0.1565832644701004,0.203010288272608,0.4281345716738503,Transference Number,0
0.1665438562631607,0.2195498879418492,0.4298123279869131,Transference Number,1
0.155309185385704,0.2089117583559368,0.4533723440876689,Transference Number,2
0.1635170578956604,0.2178530440640084,0.4840756238594842,Transference Number,3
0.1558824628591537,0.2144159566219131,0.3715705614700511,Transference Number,4
1.5096537026693111e-05,2.0603393511286266e-05,0.6431235405024989,Conductivity,0
1.6373613107134588e-05,2.1980152271686775e-05,0.5931448837278903,Conductivity,1
1.585935206094291e-05,2.1012264062546807e-05,0.685535658927177,Conductivity,2
1.6379777662223205e-05,2.181662059376699e-05,0.6113135168260613,Conductivity,3
1.6196967408177443e-05,2.249494761522839e-05,0.5927602794504176,Conductivity,4
3.040315998958931e-09,4.212288946946139e-09,0.9902170427245596,Poly Diffusivity,0
3.311125817972993e-09,4.931308788994422e-09,0.9865084945258112,Poly Diffusivity,1
3.225531397532677e-09,4.396517331733953e-09,0.9894127988305624,Poly Diffusivity,2
3.135536275067352e-09,4.247093109023284e-09,0.9899897431969475,Poly Diffusivity,3
2.995034442676569e-09,4.302802228435947e-09,0.9897302553889692,Poly Diffusivity,4
