mae,rmse,r2,target,split
1.4922531590855216e-05,2.0478360928921583e-05,0.6474418259104353,Conductivity,0
1.616942790860776e-05,2.186723066033889e-05,0.5973145553095842,Conductivity,1
1.58736074808985e-05,2.1113309454242575e-05,0.6825039649154991,Conductivity,2
1.5810250260983594e-05,2.1427022004425056e-05,0.6250718046398884,Conductivity,3
1.6361776943085715e-05,2.225741834375996e-05,0.6013151539559105,Conductivity,4
0.1591064035892486,0.2049642337441684,0.4170733529937682,Transference Number,0
0.1611069291830063,0.214223251754571,0.4571440272354212,Transference Number,1
0.1593331396579742,0.2120345603695697,0.4369082431437487,Transference Number,2
0.1672812849283218,0.2229363453206584,0.4597179734382438,Transference Number,3
0.1554761677980423,0.2110887003223345,0.3909228657863279,Transference Number,4
6.238972449779112e-09,8.374989897703392e-09,0.9631881852708272,TFSI Diffusivity,0
6.377222749875955e-09,8.75770049607742e-09,0.9596383099088296,TFSI Diffusivity,1
6.512708150552271e-09,8.633090045890213e-09,0.9614214786576638,TFSI Diffusivity,2
6.276111186309663e-09,8.619952611106359e-09,0.9606108424313314,TFSI Diffusivity,3
6.2864522476502316e-09,8.950668537260234e-09,0.9584192917407106,TFSI Diffusivity,4
4.148338117460071e-09,5.381678354179654e-09,0.9834572455279594,Li Diffusivity,0
4.394039354593815e-09,5.6872713048949384e-09,0.9814586841689096,Li Diffusivity,1
4.161526234724988e-09,5.275470373558899e-09,0.9841031451190274,Li Diffusivity,2
4.366757622165096e-09,5.640153792513553e-09,0.9817953745357016,Li Diffusivity,3
4.3125845117231165e-09,5.651503476940369e-09,0.9817727205701672,Li Diffusivity,4
3.0277771401188147e-09,4.2921574852515966e-09,0.9898425393623024,Poly Diffusivity,0
3.301408479927659e-09,4.725740246645163e-09,0.9876098746963868,Poly Diffusivity,1
3.281080074302167e-09,4.442604665133775e-09,0.9891896706944068,Poly Diffusivity,2
3.1141718093152804e-09,4.336642027925854e-09,0.98956316590896,Poly Diffusivity,3
3.036522144839182e-09,4.4050386053220034e-09,0.9892364311691306,Poly Diffusivity,4
