target,split,MAE,R2,RMSE
TFSI Diffusivity,0,6.3387077808840794e-09,0.9624177793354418,8.462172918445384e-09
TFSI Diffusivity,1,6.477616221189919e-09,0.958944111587247,8.832693016018664e-09
TFSI Diffusivity,2,6.454748735507111e-09,0.9612354107325284,8.653884097033231e-09
TFSI Diffusivity,3,6.431915888782669e-09,0.9592940061593632,8.762856802252065e-09
TFSI Diffusivity,4,6.584071954307546e-09,0.9565739591835192,9.147125663963238e-09
Transference Number,0,0.1591422259807586,0.4108822731377075,0.2060497879964473
Transference Number,1,0.1651684194803238,0.4278320492470292,0.2199308081891003
Transference Number,2,0.158057302236557,0.4336021415364,0.2126561194425766
Transference Number,3,0.1656692624092102,0.4713195843136812,0.2205297751424002
Transference Number,4,0.1584150344133377,0.3655820033021464,0.2154351590828668
Li Diffusivity,0,4.0829153391541695e-09,0.9833245147548456,5.403225278636046e-09
Li Diffusivity,1,4.438611700408046e-09,0.981488262663271,5.682733380829402e-09
Li Diffusivity,2,4.194024683101816e-09,0.9839745954141824,5.296757531350307e-09
Li Diffusivity,3,4.454259627806323e-09,0.9807941857000294,5.793172270855737e-09
Li Diffusivity,4,4.374665518724896e-09,0.980742989559406,5.8089482849337805e-09
Poly Diffusivity,0,3.017862626464307e-09,0.9903863577532857,4.175678469288165e-09
Poly Diffusivity,1,3.325225650385732e-09,0.987689237366724,4.7105809861110175e-09
Poly Diffusivity,2,3.1996318927696166e-09,0.989347768166898,4.409999227922747e-09
Poly Diffusivity,3,3.188665775866184e-09,0.9891532077457976,4.420993030844379e-09
Poly Diffusivity,4,3.047739394190785e-09,0.9895989728151734,4.33021726801996e-09
Conductivity,0,1.5374846043414436e-05,0.6608699458467444,2.008458886122653e-05
Conductivity,1,1.6121706721605733e-05,0.6187586265599411,2.1277021547869696e-05
Conductivity,2,1.533416798338294e-05,0.693374719421159,2.0748711220796316e-05
Conductivity,3,1.5772613551234826e-05,0.635172200457724,2.1136434423238335e-05
Conductivity,4,1.701728797343094e-05,0.5521629144329563,2.3589566544071087e-05
