mae,rmse,r2,target,split
4.173567269560863e-09,5.423993990303906e-09,0.9831960740130912,Li Diffusivity,0
4.5185379882184415e-09,5.789991566084419e-09,0.9807828703296042,Li Diffusivity,1
4.26663593344756e-09,5.37087047406908e-09,0.9835229979786972,Li Diffusivity,2
4.4618579941868575e-09,5.725986801638636e-09,0.9812370744019128,Li Diffusivity,3
4.415321885886669e-09,5.841104660851017e-09,0.9805291980414308,Li Diffusivity,4
3.103538315230025e-09,4.407709162043882e-09,0.989288268389486,Poly Diffusivity,0
3.353879396428283e-09,4.778256658792274e-09,0.9873329654468184,Poly Diffusivity,1
3.239431389800984e-09,4.425874096206567e-09,0.9892709393356828,Poly Diffusivity,2
3.2040354813744894e-09,4.382207855829329e-09,0.9893426899437984,Poly Diffusivity,3
3.073687526722324e-09,4.421961743524945e-09,0.989153569764058,Poly Diffusivity,4
1.519899979030015e-05,2.0286140065592356e-05,0.6540293676498049,Conductivity,0
1.593118577147834e-05,2.108099023218458e-05,0.6257512287568197,Conductivity,1
1.5706633348600008e-05,2.0809188173774817e-05,0.6915846556749529,Conductivity,2
1.634047475818079e-05,2.1604152954627793e-05,0.6188473575541447,Conductivity,3
1.696204890322406e-05,2.342041866385372e-05,0.55856227087217,Conductivity,4
6.2257345945226925e-09,8.481945443239371e-09,0.9622419474088038,TFSI Diffusivity,0
6.283177533816797e-09,8.754637455122391e-09,0.9596665381234084,TFSI Diffusivity,1
6.453896528313407e-09,8.645231249725886e-09,0.9613128921200176,TFSI Diffusivity,2
6.624674586674928e-09,8.848573745934407e-09,0.9584937485081916,TFSI Diffusivity,3
6.503626082121627e-09,9.114111344211337e-09,0.9568868649674144,TFSI Diffusivity,4
0.1597993373870849,0.2066827666176397,0.4072572358851866,Transference Number,0
0.1655342727899551,0.2199760631115708,0.4275965681185095,Transference Number,1
0.1558545082807541,0.2082568008198506,0.4567943971364169,Transference Number,2
0.1678691804409027,0.2284178157706398,0.4328228659395662,Transference Number,3
0.1603250652551651,0.215672446642254,0.3641837178242291,Transference Number,4
