target,split,MAE,R2,RMSE
homo_extrapolated,0,0.0861912816762924,0.9465045985460878,0.1232504334086696
homo_extrapolated,1,0.0977935194969177,0.9168057918610364,0.161278069653463
homo_extrapolated,2,0.0861278399825096,0.9450587600391572,0.1238153055396471
homo_extrapolated,3,0.0907202288508415,0.9365673242906922,0.1418179010402558
homo_extrapolated,4,0.0902673378586769,0.9385914894513476,0.1317457455725393
gap,0,0.0737820416688919,0.9433734735490624,0.1024781818400088
gap,1,0.0787112861871719,0.923349998214053,0.1221835907813193
gap,2,0.0690019503235817,0.9464277534356396,0.0997981311936436
gap,3,0.0776429399847984,0.930326349300626,0.1158757906748411
gap,4,0.0780075639486312,0.9390494734328771,0.1124330326280096
lumo_extrapolated,0,0.0907359048724174,0.9463140279477212,0.1285958092131814
lumo_extrapolated,1,0.0858488604426384,0.9521043795152586,0.1251381989295218
lumo_extrapolated,2,0.0904511734843254,0.9455143562022756,0.1281496370284179
lumo_extrapolated,3,0.0886015444993972,0.9485824510557308,0.1276219357231023
lumo_extrapolated,4,0.0857679843902587,0.953481502932533,0.1209984296522425
spectral_overlap,0,180.06732177734375,0.9576341751510956,276.29219134821744
spectral_overlap,1,178.0057373046875,0.9506088550963708,283.197010709859
spectral_overlap,2,190.55186462402344,0.951451145712274,289.98060279956655
spectral_overlap,3,162.09437561035156,0.9671474412042927,241.7984859599001
spectral_overlap,4,184.49330139160156,0.9583842996540072,279.4526458096255
delta_lumo,0,0.0471210330724716,0.8087766932722925,0.0659829455247253
delta_lumo,1,0.0475774966180324,0.8022315274554402,0.0681765939675776
delta_lumo,2,0.0445771180093288,0.8085557442148793,0.0664281107879047
delta_lumo,3,0.0500347688794136,0.786207893008973,0.0690979466211956
delta_lumo,4,0.0471059419214725,0.8108709613166933,0.0674805519721791
delta_optical_lumo,0,0.0564270243048667,0.7348118472547505,0.0774945390703885
delta_optical_lumo,1,0.0536550134420394,0.7706594500481123,0.0741003874553365
delta_optical_lumo,2,0.055394347757101,0.7424538833182079,0.0786280973463812
delta_optical_lumo,3,0.0546782501041889,0.743009119513365,0.0764876386493605
delta_optical_lumo,4,0.0545775704085826,0.7350016971047989,0.0798097188626713
delta_homo,0,0.0461499094963073,0.7074380075381463,0.0662728435173159
delta_homo,1,0.0489169396460056,0.5557815507319775,0.0831873578816266
delta_homo,2,0.0474920272827148,0.6800576948658028,0.0681672632455126
delta_homo,3,0.0452199727296829,0.6496460812048117,0.0720588780975149
delta_homo,4,0.0473738424479961,0.6491949699826127,0.0764383399212308
optical_lumo_extrapolated,0,0.096481829881668,0.9275088491422422,0.1360722994296012
optical_lumo_extrapolated,1,0.0925305932760238,0.9346927414770116,0.1326480646944303
optical_lumo_extrapolated,2,0.0982634350657463,0.921212369628536,0.1413368381410187
optical_lumo_extrapolated,3,0.0926719456911087,0.9360840652449014,0.1327559897868365
optical_lumo_extrapolated,4,0.0970077067613601,0.9268628721850708,0.13902389145788
gap_extrapolated,0,0.103690005838871,0.8823680264664326,0.1489038795250488
gap_extrapolated,1,0.1092820093035698,0.8460340311140888,0.1704485830795868
gap_extrapolated,2,0.1095306500792503,0.8526029686687762,0.1605607367886864
gap_extrapolated,3,0.1140472590923309,0.8521060235013457,0.1686013805741416
gap_extrapolated,4,0.1076207682490348,0.867100350264856,0.1561512635117908
lumo,0,0.0532712079584598,0.9838837606330229,0.0736802131964542
lumo,1,0.0612773932516574,0.9784490995935836,0.0874175159775526
lumo,2,0.0587918832898139,0.9795178837087072,0.0832701184990723
lumo,3,0.0544804893434047,0.981611835381512,0.0800978182791257
lumo,4,0.0541267022490501,0.9815443450620832,0.0803312916887419
homo,0,0.0587354823946952,0.9669296791579204,0.0877574043459702
homo,1,0.0638584345579147,0.9688425945927388,0.0918032714968928
homo,2,0.0613109096884727,0.9700518896633284,0.0846717945805259
homo,3,0.0627716407179832,0.967652621800214,0.0917893366051838
homo,4,0.0614760667085647,0.9611810468466792,0.0980333201092836
optical_lumo,0,0.0735094249248504,0.9630669662371631,0.1033656275120237
optical_lumo,1,0.0704322680830955,0.96686219457873,0.1021017467506749
optical_lumo,2,0.0717181265354156,0.9660567395075184,0.1000179252354039
optical_lumo,3,0.0760842561721801,0.9582042117132252,0.1145911367605785
optical_lumo,4,0.076667197048664,0.9599431960837044,0.1109142389894604
