target,split,baseline,test/mae,test/r2,test/rmse,dataset,encoder,variant
TC,0,Linear,0.06120140577018117,-0.5972460773535051,0.09033492271551986,tc,AttentiveFP,default
TC,0,RF,0.052602679159469194,-0.08631755130502339,0.07449860840069036,tc,AttentiveFP,default
TC,0,XGB,0.05092676305739051,-0.015158220437447634,0.07201726598807995,tc,AttentiveFP,default
TC,1,Linear,0.06495249911519609,-1.0859994486760027,0.08995527937908822,tc,AttentiveFP,default
TC,1,RF,0.05108316508546667,-0.19576325241406245,0.06810706471830517,tc,AttentiveFP,default
TC,1,XGB,0.04884475520336569,-0.09010638298647389,0.06502853998242847,tc,AttentiveFP,default
TC,2,Linear,0.05914762751902502,-0.31008264479546366,0.08281233749302698,tc,AttentiveFP,default
TC,2,RF,0.04968054361206667,-0.05191537465242302,0.07420550039738984,tc,AttentiveFP,default
TC,2,XGB,0.04690157027434166,-0.03853126388625472,0.07373190998323167,tc,AttentiveFP,default
TC,3,Linear,0.07363441325914967,-3.8212815887136404,0.13826132305104444,tc,AttentiveFP,default
TC,3,RF,0.046931055761923815,-0.17908754100671564,0.06837423572817355,tc,AttentiveFP,default
TC,3,XGB,0.04584778821036021,-0.03449160125709971,0.06404466293196791,tc,AttentiveFP,default
TC,4,Linear,0.05561627923307962,-0.9036353794122254,0.08271675863610835,tc,AttentiveFP,default
TC,4,RF,0.04532661780677143,-0.20031777603632683,0.06568251032585556,tc,AttentiveFP,default
TC,4,XGB,0.04627019710550159,-0.13547306451684737,0.06388369713534803,tc,AttentiveFP,default
