target,split,MAE,R2,RMSE
Transference Number,0,1.534109287604224e-05,0.6537136041732342,2.0295395221824632e-05
Transference Number,1,1.6335779946530238e-05,0.6003915158899262,2.1783525363615334e-05
Transference Number,2,1.5724823242635466e-05,0.6871443517747606,2.09584494491577e-05
Transference Number,3,1.5596662706229836e-05,0.6313646723902334,2.1246443296280685e-05
Transference Number,4,1.6948646589298733e-05,0.5587281893678997,2.3416016782845768e-05
Transference Number,0,6.188547452268267e-09,0.9639875324210941,8.283561909181463e-09
Transference Number,1,6.3794245441783914e-09,0.9590516964449758,8.82111254731914e-09
Transference Number,2,6.5963190465367916e-09,0.96024034952179,8.764249979801914e-09
Transference Number,3,6.824712794895049e-09,0.9554250094833366,9.169848348080353e-09
Transference Number,4,6.459745627296343e-09,0.9573236811343648,9.067822545537378e-09
Transference Number,0,4.187774571562386e-09,0.9830026664545177,5.455118894550801e-09
Transference Number,1,4.491529814742989e-09,0.9807504666752946,5.794871168403192e-09
Transference Number,2,4.339011372422874e-09,0.9834412614823685,5.384175450127327e-09
Transference Number,3,4.576212742080088e-09,0.9804372237933459,5.8467605239866164e-09
Transference Number,4,4.355060756466855e-09,0.9810484067100114,5.762699101823571e-09
Transference Number,0,3.0594546895912345e-09,0.9896187417126575,4.339184067064309e-09
Transference Number,1,3.2460527599198485e-09,0.9878298066918568,4.6836100224081405e-09
Transference Number,2,3.2479989808820164e-09,0.9895746787966623,4.362776027913084e-09
Transference Number,3,3.1811884237953336e-09,0.9892984125692587,4.391301694315192e-09
Transference Number,4,2.9794384737158452e-09,0.9892133154485214,4.4097660730787545e-09
Transference Number,0,0.15952980518341064,0.40371715662071816,0.20729904129737767
Transference Number,1,0.164542555809021,0.4358889545320448,0.21837685468996446
Transference Number,2,0.15725405514240265,0.42896524821276993,0.21352481000164025
Transference Number,3,0.16275911033153534,0.47715358201499936,0.21930961892580222
Transference Number,4,0.1565813273191452,0.3840851967791804,0.2122702615404928
