target,split,MAE,R2,RMSE
Poly Diffusivity,0,2.945507837637251e-09,0.9904528949474412,4.161203347507953e-09
Poly Diffusivity,1,3.4526794756573054e-09,0.9862219773099532,4.983396436593105e-09
Poly Diffusivity,2,3.196304110275605e-09,0.9894400466638228,4.390856181452326e-09
Poly Diffusivity,3,3.0786435623042503e-09,0.990004687452756,4.243921752230125e-09
Poly Diffusivity,4,3.176218843492506e-09,0.9889268235993804,4.467943612216744e-09
Li Diffusivity,0,4.123914987275157e-09,0.9833477863047888,5.399453657865735e-09
Li Diffusivity,1,4.476768289407573e-09,0.9802936117085022,5.863233505813633e-09
Li Diffusivity,2,4.370718897916959e-09,0.983023030960176,5.451746425339879e-09
Li Diffusivity,3,4.375087403474254e-09,0.9818295907918254,5.634850741573128e-09
Li Diffusivity,4,4.4262500331626606e-09,0.980734090380638,5.810290370191747e-09
Transference Number,0,0.1626152098178863,0.3854088436372694,0.2104574409878933
Transference Number,1,0.1636657416820526,0.4530242829959873,0.2150345908383468
Transference Number,2,0.1578996926546096,0.4355727940981038,0.2122858539218513
Transference Number,3,0.1632583737373352,0.4738128895822151,0.2200091346421134
Transference Number,4,0.1571817845106125,0.3795488644051754,0.2130505372457617
TFSI Diffusivity,0,6.534085272846823e-09,0.9622408954356896,8.482063639698417e-09
TFSI Diffusivity,1,6.312123268514824e-09,0.9597135731612032,8.749531138430323e-09
TFSI Diffusivity,2,6.369319738297463e-09,0.9622846708915358,8.535961245849935e-09
TFSI Diffusivity,3,6.570102684122503e-09,0.9594948025905956,8.741217122956906e-09
TFSI Diffusivity,4,6.502939076113989e-09,0.9585804763152244,8.933303452515388e-09
Conductivity,0,1.4915713109076025e-05,0.6550827558927055,2.0255233423864546e-05
Conductivity,1,1.5985837308107875e-05,0.6078266491472477,2.1579920856553023e-05
Conductivity,2,1.60399195010541e-05,0.6773728457655356,2.1283233907511e-05
Conductivity,3,1.5974223060766235e-05,0.6256498695365378,2.1410497280016983e-05
Conductivity,4,1.6499292541993782e-05,0.5806848266689917,2.282602192407883e-05
