target,split,MAE,R2,RMSE
gap_extrapolated,0,0.2361602038145065,0.482451134061405,0.3123338138246012
gap_extrapolated,1,0.2429064810276031,0.4509095601387763,0.3218866489672761
gap_extrapolated,2,0.249975323677063,0.3334689247735946,0.3414327589345146
gap_extrapolated,3,0.2530147731304168,0.3783739835948804,0.3456610745647771
gap_extrapolated,4,0.2421590834856033,0.4383823748338287,0.3209992002703012
lumo,0,0.2019372582435608,0.7922761718961422,0.2645222267914751
lumo,1,0.1852116137742996,0.8240685339221275,0.2497684181016635
lumo,2,0.169719323515892,0.8399205849560122,0.2327927827486283
lumo,3,0.1816176027059555,0.8301427887235294,0.2434408688220311
lumo,4,0.1669118255376815,0.8619548195386687,0.2197002903808537
lumo_extrapolated,0,0.2115934789180755,0.7399824571592213,0.2830073633710352
lumo_extrapolated,1,0.2001011371612548,0.7752042675653545,0.2711040659763852
lumo_extrapolated,2,0.2087139785289764,0.7326482368305497,0.2838689278197153
lumo_extrapolated,3,0.1765134632587433,0.8172254854559835,0.2406176401845796
lumo_extrapolated,4,0.1953617632389068,0.783787951347273,0.2608596023051324
delta_homo,0,0.0693302974104881,0.4302737152532434,0.0924825474748151
delta_homo,1,0.0727867856621742,0.3243132487696681,0.1025963078513171
delta_homo,2,0.0685715898871421,0.4193821095479826,0.091830135975125
delta_homo,3,0.0703338235616684,0.3559550106153599,0.0976994466612329
delta_homo,4,0.0665426254272461,0.4143039873643218,0.0987675945083799
delta_lumo,0,0.0889258682727813,0.4316723914357254,0.1137524211280042
delta_lumo,1,0.0921400710940361,0.409812930120467,0.1177745934488178
delta_lumo,2,0.0850338637828826,0.459544763771413,0.1116119247502017
delta_lumo,3,0.079957902431488,0.4988108293082094,0.105796221690653
delta_lumo,4,0.0828551203012466,0.4588812668541182,0.1141420903199935
homo_extrapolated,0,0.2027842402458191,0.7518994565343652,0.265426379162828
homo_extrapolated,1,0.2104580551385879,0.7328287119763746,0.2890171840304157
homo_extrapolated,2,0.2119142711162567,0.7126503252157885,0.2831590552406296
homo_extrapolated,3,0.2126578986644745,0.7394885052793776,0.2874008178670431
homo_extrapolated,4,0.2042279690504074,0.7434098089539192,0.2693037233735176
homo,0,0.1583183407783508,0.8171962320510089,0.2063275108487147
homo,1,0.1583685427904129,0.8337495068378813,0.2120601133183582
homo,2,0.1665823608636856,0.8026547400002663,0.2173538785119786
homo,3,0.162017360329628,0.829030736260298,0.2110239311032564
homo,4,0.1535204797983169,0.8336959878529856,0.2029098691983257
spectral_overlap,0,423.4870910644531,0.808086219331471,588.0494505141553
spectral_overlap,1,400.61029052734375,0.8076339227819769,558.8925992532018
spectral_overlap,2,408.8863830566406,0.814096799604046,567.4438573550691
spectral_overlap,3,363.4993896484375,0.8556805104781646,506.7939978433052
spectral_overlap,4,417.1711730957031,0.8234361200411484,575.6129341840748
gap,0,0.2016193568706512,0.6213175608346753,0.2650080275444322
gap,1,0.2119483053684234,0.5822333629348935,0.2852487022293485
gap,2,0.2110788375139236,0.5895348334570999,0.2762425819108693
gap,3,0.2051516473293304,0.5919635684496407,0.2804193017452237
gap,4,0.2042353898286819,0.6397585648226559,0.2733392675243108
delta_optical_lumo,0,0.0952863022685051,0.3421347478247578,0.1220569488839893
delta_optical_lumo,1,0.1027777343988418,0.259176376516864,0.1331795291193682
delta_optical_lumo,2,0.1029448583722114,0.2514253322384602,0.1340503091093225
delta_optical_lumo,3,0.1021222099661827,0.2364430905897754,0.1318417936366637
delta_optical_lumo,4,0.1008796393871307,0.2854425121677825,0.1310547679440383
optical_lumo_extrapolated,0,0.1716653406620025,0.795394139114963,0.228605285400413
optical_lumo_extrapolated,1,0.1771913915872573,0.7985641848114319,0.2329638437257234
optical_lumo_extrapolated,2,0.1827282756567001,0.7722643027614563,0.2402934412721758
optical_lumo_extrapolated,3,0.1867433339357376,0.7810672784448128,0.245699847310193
optical_lumo_extrapolated,4,0.180061787366867,0.7841350904023225,0.2388424518220013
optical_lumo,0,0.1823695451021194,0.8076182872062292,0.235912280282168
optical_lumo,1,0.1846625059843063,0.8177655766440947,0.2394343756200781
optical_lumo,2,0.1714014261960983,0.8264755104012871,0.2261421151092002
optical_lumo,3,0.1759871393442154,0.8273275679265304,0.2329143627754553
optical_lumo,4,0.1749801486730575,0.8251797963071038,0.2317100973951028
