target,split,MAE,R2,RMSE
homo_extrapolated,0,0.066474437713623,0.9659390291816118,0.0983464645081415
homo_extrapolated,1,0.0662174448370933,0.9440112344759084,0.1323058970812503
homo_extrapolated,2,0.063066765666008,0.9650584356431862,0.0987407169626414
homo_extrapolated,3,0.0663452446460723,0.9611448643814602,0.1109938119294308
homo_extrapolated,4,0.0647258758544921,0.960290869605677,0.1059418416891815
gap,0,0.0420640334486961,0.9783390445843924,0.0633811710758261
gap,1,0.0448861829936504,0.9683075876886836,0.0785659653569661
gap,2,0.0467710234224796,0.9729592850585088,0.0709025014022613
gap,3,0.0410575978457927,0.9743335519872462,0.0703301142775872
gap,4,0.0555605441331863,0.9718125148196404,0.0764598355169526
spectral_overlap,0,113.93698120117188,0.9794717550065968,192.32541799317636
spectral_overlap,1,113.69699096679688,0.977581344997196,190.7958353351823
spectral_overlap,2,108.21328735351562,0.9819088688945056,177.01591670136614
spectral_overlap,3,112.25176239013672,0.9820170429489088,178.89554280186803
spectral_overlap,4,118.5734634399414,0.978530628910801,200.7193703283268
lumo,0,0.0311528444290161,0.9938444552363884,0.045535726642824
lumo,1,0.0327850393950939,0.9931797858118016,0.0491773088393535
lumo,2,0.0321874059736728,0.9927793078178104,0.0494414481694575
lumo,3,0.0304855294525623,0.9941733984815316,0.0450878110632505
lumo,4,0.0332821570336818,0.9915617897856748,0.0543181772090807
delta_optical_lumo,0,0.0389339439570903,0.8626113772961415,0.0557788326570428
delta_optical_lumo,1,0.0384511724114418,0.8604815992956161,0.0577957369047007
delta_optical_lumo,2,0.0391660593450069,0.8557171600302551,0.0588515095757991
delta_optical_lumo,3,0.0399087592959404,0.8578438954884913,0.0568872766390776
delta_optical_lumo,4,0.040816206485033,0.8209161572307669,0.0656088504050318
homo,0,0.0407206453382968,0.9842287583799728,0.0606034710383042
homo,1,0.0366883613169193,0.9883412234785204,0.05615701448669
homo,2,0.0350974798202514,0.9878600535279886,0.0539091441165401
homo,3,0.0386682301759719,0.9865456125331796,0.0591976771850889
homo,4,0.0411401987075805,0.9780221545938476,0.0737639849948522
optical_lumo,0,0.0416962057352066,0.9868453700780546,0.0616890347599289
optical_lumo,1,0.0420873016119003,0.9877825108961042,0.0619958008588662
optical_lumo,2,0.040989700704813,0.9872726359117524,0.0612449511751049
optical_lumo,3,0.0390078872442245,0.989518823938768,0.0573838609284145
optical_lumo,4,0.0429168678820133,0.9850150657867572,0.0678385512461201
gap_extrapolated,0,0.076188139617443,0.9274941460144628,0.1169041306992633
gap_extrapolated,1,0.0724843963980674,0.9221704296289784,0.1211862479994139
gap_extrapolated,2,0.0721079483628273,0.9164636897585552,0.1208739246606086
gap_extrapolated,3,0.0712501108646392,0.9318792273136952,0.1144262523155034
gap_extrapolated,4,0.0688743442296981,0.9405550636545484,0.1044337831363134
