target,split,test/mae,test/r2,test/rmse
TFSI Diffusivity,0,6.29060181722707e-09,1.0,8.405359963603587e-09
TFSI Diffusivity,1,6.339373914698854e-09,1.0,8.628542325084254e-09
TFSI Diffusivity,2,6.409268671347945e-09,1.0,8.513137750298938e-09
TFSI Diffusivity,3,6.615134662268929e-09,1.0,8.756051883551663e-09
TFSI Diffusivity,4,6.579698119679733e-09,1.0,9.077969487236714e-09
Conductivity,0,1.6219697499764152e-05,1.0,2.1341309548006393e-05
Conductivity,1,1.579073432367295e-05,1.0,2.1561731045949273e-05
Conductivity,2,1.5816725863260217e-05,1.0,2.1207044483162463e-05
Conductivity,3,1.612277264939621e-05,1.0,2.1201818526606075e-05
Conductivity,4,1.589985186001286e-05,1.0,2.3157803298090585e-05
Transference Number,0,0.1593679040670395,0.3991734981536865,0.2080873548984527
Transference Number,1,0.1656466871500015,0.4483175277709961,0.2159578055143356
Transference Number,2,0.1540879905223846,0.4543589949607849,0.2087231278419494
Transference Number,3,0.167200967669487,0.467363953590393,0.2213532477617263
Transference Number,4,0.1574805378913879,0.3733131289482116,0.2141184657812118
Poly Diffusivity,0,3.319913677302111e-09,1.0,4.359507421725084e-09
Poly Diffusivity,1,3.380542068498471e-09,1.0,4.784520335476827e-09
Poly Diffusivity,2,3.268414872081848e-09,1.0,4.4212447036784405e-09
Poly Diffusivity,3,3.137618165283129e-09,1.0,4.311941026458044e-09
Poly Diffusivity,4,3.157936134812189e-09,1.0,4.52671411466099e-09
Li Diffusivity,0,4.406924158928405e-09,1.0,5.718888029804248e-09
Li Diffusivity,1,4.351760729548459e-09,1.0,5.628883581465516e-09
Li Diffusivity,2,4.1555079377531e-09,1.0,5.249080725633348e-09
Li Diffusivity,3,4.414356435944455e-09,1.0,5.653367551872179e-09
Li Diffusivity,4,4.462288316631202e-09,1.0,5.80489256662986e-09
