target,split,test/mae,test/r2,test/rmse
TFSI Diffusivity,0,6.552201003984237e-09,1.0,8.62399129886171e-09
TFSI Diffusivity,1,6.381106754105303e-09,1.0,8.646045657201284e-09
TFSI Diffusivity,2,6.711597944075721e-09,1.0,8.839027287876888e-09
TFSI Diffusivity,3,6.499045746011234e-09,1.0,8.797122141857017e-09
TFSI Diffusivity,4,6.6084182570591565e-09,1.0,9.010828527777905e-09
Transference Number,0,0.1596407890319824,0.4056453704833984,0.2069636136293411
Transference Number,1,0.1664009690284729,0.4392789602279663,0.2177197039127349
Transference Number,2,0.1624524593353271,0.4241524338722229,0.214422732591629
Transference Number,3,0.1676142960786819,0.4429539442062378,0.2263685911893844
Transference Number,4,0.1576504558324813,0.3747366666793823,0.2138751447200775
Li Diffusivity,0,4.070379588938522e-09,1.0,5.4161124474205735e-09
Li Diffusivity,1,4.488986959927388e-09,1.0,5.799370317305374e-09
Li Diffusivity,2,4.177236334612644e-09,1.0,5.3075521755374674e-09
Li Diffusivity,3,4.483985183156847e-09,1.0,5.765213195729757e-09
Li Diffusivity,4,4.365229955283212e-09,1.0,5.81099346419478e-09
Conductivity,0,1.5038006495160516e-05,1.0,2.0349454644019715e-05
Conductivity,1,1.6327216144418344e-05,1.0,2.178433715016581e-05
Conductivity,2,1.6065923773567192e-05,1.0,2.1089990696054883e-05
Conductivity,3,1.5247869669110514e-05,1.0,2.0520381440292113e-05
Conductivity,4,1.659021472733002e-05,1.0,2.290930387971457e-05
Poly Diffusivity,0,3.094315470519859e-09,1.0,4.264611774829063e-09
Poly Diffusivity,1,3.363331169126127e-09,1.0,4.691396160438899e-09
Poly Diffusivity,2,3.290077543738334e-09,1.0,4.586668378436798e-09
Poly Diffusivity,3,3.3303517721350318e-09,1.0,4.54848381181705e-09
Poly Diffusivity,4,3.017477823163972e-09,1.0,4.2367052088820856e-09
