target,split,test/mae,test/r2,test/rmse
Transference Number,0,0.1587337255477905,0.4072985649108886,0.2066755592823028
Transference Number,1,0.1639074236154556,0.4509585499763489,0.2154402583837509
Transference Number,2,0.1594705730676651,0.4238440990447998,0.2144801318645477
Transference Number,3,0.1684991270303726,0.4477486610412597,0.2253922671079635
Transference Number,4,0.1535433530807495,0.4034574031829834,0.208905354142189
Conductivity,0,1.5272597011062317e-05,1.0,2.0016099369968288e-05
Conductivity,1,1.6140826119226404e-05,1.0,2.161290103686042e-05
Conductivity,2,1.5941919627948664e-05,1.0,2.101767677231692e-05
Conductivity,3,1.5855388483032584e-05,1.0,2.142372431990225e-05
Conductivity,4,1.6994066754705273e-05,1.0,2.3649028662475757e-05
TFSI Diffusivity,0,6.400455276889261e-09,1.0,8.557186959023966e-09
TFSI Diffusivity,1,6.3769389768708615e-09,1.0,8.662676798110171e-09
TFSI Diffusivity,2,6.319819778610736e-09,1.0,8.495393721830169e-09
TFSI Diffusivity,3,6.506013949802991e-09,1.0,8.777958804273567e-09
TFSI Diffusivity,4,6.4032104063471715e-09,1.0,8.981626109516583e-09
Li Diffusivity,0,4.08297307075145e-09,1.0,5.369508837560488e-09
Li Diffusivity,1,4.438027279007883e-09,1.0,5.662392776883962e-09
Li Diffusivity,2,4.2729282334619265e-09,1.0,5.4047153419389815e-09
Li Diffusivity,3,4.310184653633087e-09,1.0,5.5983151447946974e-09
Li Diffusivity,4,4.385537710760445e-09,1.0,5.861301666243435e-09
Poly Diffusivity,0,2.9942845980457374e-09,1.0,4.078462456647003e-09
Poly Diffusivity,1,3.3345117778083022e-09,1.0,4.713478940487903e-09
Poly Diffusivity,2,3.260689940276506e-09,1.0,4.386238483533589e-09
Poly Diffusivity,3,3.19751713995231e-09,1.0,4.266877517977718e-09
Poly Diffusivity,4,3.21208948328433e-09,1.0,4.5308685692191375e-09
