target,split,test/mae,test/r2,test/rmse,model
Transference Number,0,0.16770190845786706,0.3577733517348375,0.21513709375874251,Linear
Transference Number,0,0.16103622441008403,0.4052981184804654,0.2070240463650874,RF
Transference Number,0,0.17019334463077723,0.3206238637991027,0.22127190782868253,XGB
Transference Number,1,0.1706329013803429,0.41639525968918156,0.22211797425726415,Linear
Transference Number,1,0.16863154909243697,0.432292119599616,0.21907194292954674,RF
Transference Number,1,0.17810468824556022,0.3491297618430037,0.234569480102261,XGB
Transference Number,2,0.17621460861425728,0.32636756900178443,0.2319148551041526,Linear
Transference Number,2,0.16075598341176475,0.42139561759582134,0.21493539186193555,RF
Transference Number,2,0.1717345385122453,0.32465989044142207,0.23220862462480488,XGB
Transference Number,3,0.17874571049181442,0.3722085944365848,0.24031357204529666,Linear
Transference Number,3,0.1673605478789916,0.46066412786573574,0.22274105347713322,RF
Transference Number,3,0.176330015724138,0.37245167954521874,0.24026704201464044,XGB
Transference Number,4,0.16606962053045338,0.28817709803293856,0.22819956500538768,Linear
Transference Number,4,0.16135591792941176,0.37661044730439597,0.21355443432666035,RF
Transference Number,4,0.1719503259319208,0.2976484883742182,0.2266762892884841,XGB
