target,split,test/mae,test/r2,test/rmse
TFSI Diffusivity,0,6.123035856120396e-09,1.0,8.239534388110314e-09
TFSI Diffusivity,1,6.519412565353377e-09,1.0,8.866531508999742e-09
TFSI Diffusivity,2,6.5832428397527565e-09,1.0,8.826862796240675e-09
TFSI Diffusivity,3,6.923638551370459e-09,1.0,9.277425938591932e-09
TFSI Diffusivity,4,6.6555139177637565e-09,1.0,9.413012591608094e-09
Transference Number,0,0.1569906175136566,0.4273906350135803,0.203142300248146
Transference Number,1,0.1661970913410186,0.4390712976455688,0.2177600115537643
Transference Number,2,0.158452421426773,0.4439753890037536,0.2106997817754745
Transference Number,3,0.1697303652763366,0.4237817525863647,0.2302311658859253
Transference Number,4,0.1532921642065048,0.3976814150810241,0.2099142670631408
Li Diffusivity,0,4.099985684291596e-09,1.0,5.347849718617681e-09
Li Diffusivity,1,4.48978010325618e-09,1.0,5.785762091647939e-09
Li Diffusivity,2,4.2553649493015655e-09,1.0,5.458345775366524e-09
Li Diffusivity,3,4.406886855434777e-09,1.0,5.686561888040842e-09
Li Diffusivity,4,4.41988046162578e-09,1.0,5.940120395564463e-09
Poly Diffusivity,0,2.9509445997888406e-09,1.0,4.082774118785437e-09
Poly Diffusivity,1,3.463904274525475e-09,1.0,4.863429658996665e-09
Poly Diffusivity,2,3.21568860428556e-09,1.0,4.418355015189945e-09
Poly Diffusivity,3,3.154121408499577e-09,1.0,4.499948413894117e-09
Poly Diffusivity,4,3.130250059157902e-09,1.0,4.454465685199693e-09
Conductivity,0,1.5061383237480186e-05,1.0,2.0161340216873217e-05
Conductivity,1,1.5969015294103883e-05,1.0,2.1595298676402308e-05
Conductivity,2,1.5790155885042623e-05,1.0,2.1184534489293583e-05
Conductivity,3,1.6243790014414117e-05,1.0,2.2720900233252905e-05
Conductivity,4,1.6619524103589356e-05,1.0,2.34745311900042e-05
