target,split,test/mae,test/r2,test/rmse,model
Transference Number,0,0.167701908457867,0.3577733517348375,0.2151370937587425,Linear
Transference Number,0,0.161036224410084,0.4052981184804654,0.2070240463650874,RF
Transference Number,0,0.1701933446307772,0.3206238637991027,0.2212719078286825,XGB
Transference Number,1,0.1706329013803429,0.4163952596891815,0.2221179742572641,Linear
Transference Number,1,0.1686315490924369,0.432292119599616,0.2190719429295467,RF
Transference Number,1,0.1781046882455602,0.3491297618430037,0.234569480102261,XGB
Transference Number,2,0.1762146086142572,0.3263675690017844,0.2319148551041526,Linear
Transference Number,2,0.1607559834117647,0.4213956175958213,0.2149353918619355,RF
Transference Number,2,0.1717345385122453,0.324659890441422,0.2322086246248048,XGB
Transference Number,3,0.1787457104918144,0.3722085944365848,0.2403135720452966,Linear
Transference Number,3,0.1673605478789916,0.4606641278657357,0.2227410534771332,RF
Transference Number,3,0.176330015724138,0.3724516795452187,0.2402670420146404,XGB
Transference Number,4,0.1660696205304533,0.2881770980329385,0.2281995650053876,Linear
Transference Number,4,0.1613559179294117,0.3766104473043959,0.2135544343266603,RF
Transference Number,4,0.1719503259319208,0.2976484883742182,0.2266762892884841,XGB
