target,split,test/mae,test/r2,test/rmse
gap_extrapolated,0,0.0802151635289192,0.9165195226669312,0.1254400610923767
gap_extrapolated,1,0.0793169662356376,0.8962878584861755,0.1398925930261612
gap_extrapolated,2,0.0775451436638832,0.9046597480773926,0.1291319727897644
gap_extrapolated,3,0.0739705562591552,0.9294777512550354,0.1164255067706108
gap_extrapolated,4,0.0738181769847869,0.9354597330093384,0.1088175624608993
gap,0,0.042798563838005,0.9776426553726196,0.0643912181258201
gap,1,0.0436086691915988,0.9739329814910888,0.071252629160881
gap,2,0.0427221804857254,0.977724313735962,0.0643527284264564
gap,3,0.0418628677725791,0.9732640981674194,0.0717804059386253
gap,4,0.0429342649877071,0.9794039130210876,0.0653577893972396
homo_extrapolated,0,0.0660829618573188,0.9644882082939148,0.1004189550876617
homo_extrapolated,1,0.0693623349070549,0.9487937688827516,0.1265289634466171
homo_extrapolated,2,0.0658708438277244,0.9641889333724976,0.0999610871076583
homo_extrapolated,3,0.0681070834398269,0.9589606523513794,0.1140702292323112
homo_extrapolated,4,0.0665047243237495,0.963520348072052,0.1015436574816703
optical_lumo,0,0.039551094174385,0.9877849221229552,0.0594450831413269
optical_lumo,1,0.0419305972754955,0.9876633882522584,0.06229754909873
optical_lumo,2,0.0422071851789951,0.9873188734054564,0.0611340291798114
optical_lumo,3,0.0396249033510685,0.9886507987976074,0.0597125962376594
optical_lumo,4,0.0418462008237838,0.9851594567298888,0.0675111189484596
lumo,0,0.0331377834081649,0.9933843016624452,0.0472070388495922
lumo,1,0.0355672463774681,0.9927589297294616,0.0506718158721923
lumo,2,0.0352015793323516,0.9915866255760192,0.0533687137067317
lumo,3,0.0329612493515014,0.9939324259757996,0.046010747551918
lumo,4,0.0385283827781677,0.9894405603408812,0.060763195157051
homo,0,0.0378905162215232,0.9860057830810548,0.0570872649550437
homo,1,0.0396438501775264,0.9853355288505554,0.0629793331027031
homo,2,0.036797996610403,0.9871672987937928,0.0554261356592178
homo,3,0.0347457751631736,0.9874892234802246,0.0570849850773811
homo,4,0.0371998958289623,0.98148912191391,0.0676983222365379
spectral_overlap,0,128.51805114746094,0.9787450432777404,195.70008850097656
spectral_overlap,1,125.95745086669922,0.9755873084068298,199.1003265380859
spectral_overlap,2,122.33382415771484,0.9803534746170044,184.4685211181641
spectral_overlap,3,107.9734344482422,0.9817003011703492,180.4642791748047
spectral_overlap,4,114.76856994628906,0.9813714027404784,186.96910095214844
delta_optical_lumo,0,0.0401431024074554,0.8472323417663574,0.0588179305195808
delta_optical_lumo,1,0.0409753061830997,0.8472052216529846,0.0604831427335739
delta_optical_lumo,2,0.0414636805653572,0.8292578458786011,0.0640207305550575
delta_optical_lumo,3,0.0388280227780342,0.8631667494773865,0.055812083184719
delta_optical_lumo,4,0.0418256148695945,0.8069264888763428,0.0681232884526252
