target,split,test/accuracy,test/f1,test/roc_auc,model
Class,0,0.9835526315789472,0.9793846843430872,0.9990813230534542,LogReg
Class,0,0.9835526315789472,0.9753619918485896,0.9996464435227144,RF
Class,0,0.9876644736842104,0.978436402982096,0.999525656109554,XGB
Class,1,0.9728618421052632,0.9654807927071932,0.9985922427461836,LogReg
Class,1,0.9786184210526316,0.968079400693748,0.9994936092686404,RF
Class,1,0.9794407894736842,0.9734278253341554,0.9995375078303284,XGB
Class,2,0.9761513157894736,0.9652396808150644,0.9996124120941582,LogReg
Class,2,0.9769736842105264,0.9751937503303376,0.9998055445203792,RF
Class,2,0.981907894736842,0.981630600850828,0.9997039864378424,XGB
Class,3,0.9769736842105264,0.9446132880897372,0.998971190665598,LogReg
Class,3,0.9851973684210528,0.973041326055743,0.9998397684521848,RF
Class,3,0.986842105263158,0.978535327833274,0.9998993666622784,XGB
Class,4,0.986842105263158,0.983328916135568,0.999379449813888,LogReg
Class,4,0.981907894736842,0.9614921820396808,0.9995395384229672,RF
Class,4,0.9860197368421052,0.9770611740142656,0.9996977430243408,XGB
