target,split,test/mae,test/r2,test/rmse,model
Conductivity,0,1.67088642970096e-05,0.571639174917247,2.2572744602954354e-05,Linear
TFSI Diffusivity,0,6.844530159667115e-09,0.6294228895112203,9.125300439943493e-09,Linear
Li Diffusivity,0,4.331741429252175e-09,0.5412981541422588,5.670208336982495e-09,Linear
Poly Diffusivity,0,3.900381804687943e-09,0.7982320275185397,5.180863486727953e-09,Linear
Transference Number,0,0.16689864241918917,0.3637502178760169,0.21413366974184622,Linear
Conductivity,0,1.54978934117647e-05,0.6227384167437482,2.1183649697728126e-05,RF
TFSI Diffusivity,0,6.382920638655461e-09,0.6733901876502713,8.566876195771476e-09,RF
Li Diffusivity,0,4.2402069243697476e-09,0.5607308972549592,5.548800374966307e-09,RF
Poly Diffusivity,0,3.300781949579832e-09,0.8437506961116332,4.559162581928448e-09,RF
Transference Number,0,0.16076181099831932,0.4105648089575674,0.20610530341572764,RF
Conductivity,0,1.6442797290556946e-05,0.5631352771527562,2.279570262564745e-05,XGB
TFSI Diffusivity,0,6.830247769181835e-09,0.6169608557517334,9.277467804827086e-09,XGB
Li Diffusivity,0,4.499416976966153e-09,0.496069907497221,5.9431804804464375e-09,XGB
Poly Diffusivity,0,3.33176793763709e-09,0.8208718373663231,4.88155255901136e-09,XGB
Transference Number,0,0.16706335501011685,0.3377869023573229,0.2184590393916105,XGB
