target,split,test/mae,test/r2,test/rmse,model
Conductivity,0,1.7920010212638143e-05,0.5368223687688689,2.347217223504923e-05,Linear
TFSI Diffusivity,0,7.081702926988021e-09,0.6066710302850533,9.401255244088958e-09,Linear
Li Diffusivity,0,4.565590437124192e-09,0.4784728217014318,6.046057110461907e-09,Linear
Poly Diffusivity,0,4.334463746231734e-09,0.747336825436895,5.7975834463269504e-09,Linear
Transference Number,0,0.17003140587660132,0.33396076828377097,0.21908923660771176,Linear
Conductivity,0,1.5305213647058825e-05,0.643357189817261,2.059663302884918e-05,RF
TFSI Diffusivity,0,6.850913714285714e-09,0.6442736807603778,8.940583755441466e-09,RF
Li Diffusivity,0,4.333273008403361e-09,0.5471820007995434,5.6337245998367775e-09,RF
Poly Diffusivity,0,3.7071652773109233e-09,0.799329484083485,5.166754396000931e-09,RF
Transference Number,0,0.16526638622184875,0.36617692915489963,0.2137249175176448,RF
Conductivity,0,1.701127136208117e-05,0.5600236094185783,2.2876742348026528e-05,XGB
TFSI Diffusivity,0,7.143373282025441e-09,0.5956457694920017,9.532106199708197e-09,XGB
Li Diffusivity,0,4.723989507653979e-09,0.4538780842455694,6.186978044073592e-09,XGB
Poly Diffusivity,0,3.965560725803278e-09,0.7759484478371975,5.45946407447697e-09,XGB
Transference Number,0,0.18161588675549145,0.2389910842771953,0.2341887394442018,XGB
Conductivity,1,1.4431785611106755e-05,0.6804338011402413,1.9480087889924244e-05,Linear
TFSI Diffusivity,1,7.070072167187835e-09,0.5816973457832708,9.58384731897664e-09,Linear
Li Diffusivity,1,4.627226034598152e-09,0.4276742192745008,6.043338529576319e-09,Linear
Poly Diffusivity,1,4.358302812553268e-09,0.7147647907658168,5.893741946752692e-09,Linear
Transference Number,1,0.17435379266900053,0.3905935009181166,0.22697490309764795,Linear
Conductivity,1,1.4519375025210083e-05,0.6897232327260008,1.919486767401039e-05,RF
TFSI Diffusivity,1,6.531034823529412e-09,0.6521669922580995,8.73936689569812e-09,RF
Li Diffusivity,1,4.4062296806722685e-09,0.5030775872318509,5.63118195778017e-09,RF
Poly Diffusivity,1,3.70007949579832e-09,0.7861357354093992,5.103388859677492e-09,RF
Transference Number,1,0.1703187202722689,0.4092229411292764,0.22347868633725582,RF
Conductivity,1,1.561748284558077e-05,0.6329788247054513,2.0876421382740666e-05,XGB
TFSI Diffusivity,1,6.914291809130022e-09,0.6165404409996612,9.176020188827414e-09,XGB
Li Diffusivity,1,4.6043166464621306e-09,0.4379715910853965,5.98872543342259e-09,XGB
Poly Diffusivity,1,3.89832231646537e-09,0.756352849346273,5.447161082494726e-09,XGB
Transference Number,1,0.17818934654317675,0.33214196131272156,0.23761090994891684,XGB
Conductivity,2,1.4052883955122167e-05,0.7366528146462985,1.9228757336689115e-05,Linear
TFSI Diffusivity,2,6.653038189464053e-09,0.6817154744752563,8.942325961227634e-09,Linear
Li Diffusivity,2,4.25668927462477e-09,0.5696203203404265,5.489763360414707e-09,Linear
Poly Diffusivity,2,4.00517601432327e-09,0.8046125309489127,5.323754866927629e-09,Linear
Transference Number,2,0.16831609375711926,0.38096150423911745,0.22231865312957938,Linear
Conductivity,2,1.4627210016806723e-05,0.7247877132926211,1.9657160681199217e-05,RF
TFSI Diffusivity,2,6.695600235294119e-09,0.6843856955720315,8.904736513285237e-09,RF
Li Diffusivity,2,4.3829351596638645e-09,0.5707241583266116,5.4827187668149216e-09,RF
Poly Diffusivity,2,3.804564974789915e-09,0.8214918731305139,5.08860444414538e-09,RF
Transference Number,2,0.1607736455932773,0.43429556050159845,0.212525901792508,RF
Conductivity,2,1.5046231249296867e-05,0.7173279009250124,1.9921789652398904e-05,XGB
TFSI Diffusivity,2,7.055789465869097e-09,0.632327809549715,9.611100654326963e-09,XGB
