target,split,test/mae,test/r2,test/rmse,model
TC,0,0.021187711205528363,0.8186984543562866,0.03043480443982209,Linear
TC,0,0.01582821328516587,0.8842290527001309,0.024320335160768897,RF
TC,0,0.0183930439564982,0.8432278431079047,0.028301159500108117,XGB
TC,1,0.020558728508525127,0.7892908484971753,0.028589809474559226,Linear
TC,1,0.01070010073384763,0.9407830629111859,0.015156276940281143,RF
TC,1,0.013022345622646746,0.8959561763429039,0.020089897188520296,XGB
TC,2,0.01984857312119658,0.7936330265687508,0.032867433591389356,Linear
TC,2,0.011521176505180931,0.940161322976447,0.017698509293763147,RF
TC,2,0.012900546719993662,0.9330089433826827,0.018726392013713438,XGB
TC,3,0.016572996156892176,0.8439199516492173,0.02487672213183047,Linear
TC,3,0.011379391335428563,0.9357545000659389,0.015960291395573853,RF
TC,3,0.012715328457120296,0.9147343392534154,0.01838681645067917,XGB
TC,4,0.021597800228601437,0.7573404028503449,0.02953251002107061,Linear
TC,4,0.012076438616857138,0.9211033734839019,0.016839563922969095,RF
TC,4,0.012946825213581701,0.9052710883306685,0.018451976709111216,XGB
