test/mae,test/rmse,test/r2,split,target
0.0373667888343334,0.0577868670225143,0.985615849494934,0,IP vs SHE (eV)
0.0408071801066398,0.0622836835682392,0.9840160608291626,1,IP vs SHE (eV)
0.0382710024714469,0.061224315315485,0.98373943567276,2,IP vs SHE (eV)
0.037657368928194,0.0604881048202514,0.9846779108047484,3,IP vs SHE (eV)
0.0374775789678096,0.0591495968401432,0.9842585325241088,4,IP vs SHE (eV)
0.040238868445158,0.0605980977416038,0.9893713593482972,0,EA vs SHE (eV)
0.0431859903037548,0.0648404508829116,0.9884738326072692,1,EA vs SHE (eV)
0.041110336780548,0.0642125234007835,0.9879459142684937,2,EA vs SHE (eV)
0.0410044491291046,0.0614867694675922,0.9895961284637452,3,EA vs SHE (eV)
0.0409029871225357,0.0625632032752037,0.9890819191932678,4,EA vs SHE (eV)
