test/mae,test/rmse,test/r2,split,target
0.1327927410602569,0.1717105358839035,0.8443098068237305,0,IP vs SHE (eV)
0.1402789503335952,0.1875095516443252,0.8653674125671387,1,IP vs SHE (eV)
0.1241632550954818,0.1652960330247879,0.8819878101348877,2,IP vs SHE (eV)
0.1260982304811477,0.1634066849946975,0.8916328549385071,3,IP vs SHE (eV)
0.1197917461395263,0.1568230837583542,0.8936620950698853,4,IP vs SHE (eV)
0.1300037503242492,0.1734527498483657,0.9122267961502076,0,EA vs SHE (eV)
0.143535777926445,0.1853821873664856,0.9028406739234924,1,EA vs SHE (eV)
0.1368511468172073,0.1771578639745712,0.919833242893219,2,EA vs SHE (eV)
0.1291718631982803,0.1709467619657516,0.9146901369094848,3,EA vs SHE (eV)
0.129449650645256,0.172021135687828,0.9173924326896667,4,EA vs SHE (eV)
