test/mae,test/rmse,test/r2,split,target
0.0588892102241516,0.0856233090162277,0.9612874984741212,0,IP vs SHE (eV)
0.0692987591028213,0.1142740324139595,0.9499967098236084,1,IP vs SHE (eV)
0.0567328631877899,0.0863655880093574,0.9677830934524536,2,IP vs SHE (eV)
0.0563039593398571,0.0896331891417503,0.9673941135406494,3,IP vs SHE (eV)
0.0494270771741867,0.0760981291532516,0.9749610424041748,4,IP vs SHE (eV)
0.0605600662529468,0.0908789858222007,0.9759050011634828,0,EA vs SHE (eV)
0.0856880694627761,0.1207171604037284,0.9588010311126708,1,EA vs SHE (eV)
0.0614529103040695,0.0947351306676864,0.9770757555961608,2,EA vs SHE (eV)
0.0647388473153114,0.0942872762680053,0.9740472435951232,3,EA vs SHE (eV)
0.0600076243281364,0.0950244143605232,0.9747927188873292,4,EA vs SHE (eV)
