test/mae,test/rmse,test/r2,split,target
0.0375462397933006,0.057923387736082,0.9855477809906006,0,IP vs SHE (eV)
0.0383952036499977,0.0608540214598178,0.9847414493560792,1,IP vs SHE (eV)
0.0386914163827896,0.0612973198294639,0.9837006330490112,2,IP vs SHE (eV)
0.0375390946865081,0.0604294911026954,0.9847075939178468,3,IP vs SHE (eV)
0.0372289605438709,0.0589954294264316,0.984340488910675,4,IP vs SHE (eV)
0.0396826677024364,0.0602156817913055,0.9895050525665284,0,EA vs SHE (eV)
0.0414743572473526,0.0627954080700874,0.9891894459724426,1,EA vs SHE (eV)
0.0408126451075077,0.0639407411217689,0.98804771900177,2,EA vs SHE (eV)
0.039975207298994,0.0609256736934185,0.9897851943969728,3,EA vs SHE (eV)
0.0409951172769069,0.0632624179124832,0.9888365268707277,4,EA vs SHE (eV)
