test/mae,test/rmse,test/r2,split,target
0.0145108681172132,0.0208062417805194,0.9987469911575316,0,EA vs SHE (eV)
0.0147389648482203,0.0217056255787611,0.9987083673477172,1,EA vs SHE (eV)
0.0150135364383459,0.0229939818382263,0.9984543323516846,2,EA vs SHE (eV)
0.0152937257662415,0.0219501946121454,0.9986740946769714,3,EA vs SHE (eV)
0.0141542414203286,0.0205489825457334,0.9988221526145936,4,EA vs SHE (eV)
0.0120307747274637,0.0171177200973033,0.9987378120422364,0,IP vs SHE (eV)
0.0106835300102829,0.0158071015030145,0.9989704489707948,1,IP vs SHE (eV)
0.0104040764272212,0.0160241741687059,0.9988861083984376,2,IP vs SHE (eV)
0.0117204748094081,0.0169632229954004,0.998794972896576,3,IP vs SHE (eV)
0.0112911416217684,0.0168847367167472,0.9987173080444336,4,IP vs SHE (eV)
