test/mae,test/rmse,test/r2,split,target
4.308300383115693e-09,5.757986532017867e-09,0.5269862413406372,0,Li Diffusivity
4.722829238801296e-09,6.146663622530468e-09,0.4079363644123077,1,Li Diffusivity
4.331379699351601e-09,5.466851860091992e-09,0.5732051730155945,2,Li Diffusivity
4.66162575207818e-09,5.961534821352643e-09,0.4676405489444732,3,Li Diffusivity
4.724700630731604e-09,6.273961350444779e-09,0.4503849446773529,4,Li Diffusivity
0.1662519127130508,0.2176858335733413,0.3424662947654724,0,Transference Number
0.1841308921575546,0.2437118738889694,0.2974054217338562,1,Transference Number
0.1683359593153,0.222615897655487,0.3793050050735473,2,Transference Number
0.1772888451814651,0.2416671365499496,0.365116685628891,3,Transference Number
0.1557365506887436,0.2110248208045959,0.391291469335556,4,Transference Number
2.9329954021051204e-09,4.186261115535217e-09,0.8682652115821838,0,Poly Diffusivity
3.413204385793733e-09,4.8761825688359295e-09,0.8047546148300171,1,Poly Diffusivity
3.354761801688255e-09,4.6283985533079885e-09,0.8523198962211609,2,Poly Diffusivity
3.008751026101208e-09,4.205586101591052e-09,0.8541396856307983,3,Poly Diffusivity
2.971362267345512e-09,4.304502976282265e-09,0.8482611179351807,4,Poly Diffusivity
1.5607949535478838e-05,2.0930416212650016e-05,0.6317042708396912,0,Conductivity
1.6443407730548643e-05,2.240865978819784e-05,0.5771262645721436,1,Conductivity
1.6908434190554544e-05,2.232164297311101e-05,0.6451224088668823,2,Conductivity
1.6232519556069747e-05,2.2059424736653455e-05,0.6026132106781006,3,Conductivity
1.6655038052704185e-05,2.3028538635117e-05,0.5732107758522034,4,Conductivity
6.117600648281041e-09,8.530974149323356e-09,0.6761219501495361,0,TFSI Diffusivity
6.813793529403256e-09,9.386476484962714e-09,0.5987491011619568,1,TFSI Diffusivity
6.567942190116582e-09,9.215275653673416e-09,0.6619886755943298,2,TFSI Diffusivity
6.5208425326090955e-09,8.757619518462434e-09,0.6271913647651672,3,TFSI Diffusivity
7.037792126851627e-09,9.63330037961896e-09,0.62283855676651,4,TFSI Diffusivity
