test/mae,test/rmse,test/r2,split,target
3.192260011886105e-09,4.413537535441492e-09,0.8535728454589844,0,Poly Diffusivity
3.372100598753036e-09,4.84055018290519e-09,0.8075976371765137,1,Poly Diffusivity
3.355948408056974e-09,4.6732795411230654e-09,0.8494418859481812,2,Poly Diffusivity
4.0005883050753255e-09,5.616882514658528e-09,0.7398195266723633,3,Poly Diffusivity
3.1470495098773203e-09,4.5942041282387436e-09,0.8271491527557373,4,Poly Diffusivity
0.1675146967172622,0.2234585136175155,0.3071302473545074,0,Transference Number
0.2033775746822357,0.276429533958435,0.096100129187107,1,Transference Number
0.1768651157617569,0.2348528802394867,0.3091915845870971,2,Transference Number
0.194398283958435,0.2643781304359436,0.2401816099882125,3,Transference Number
0.1809020489454269,0.2485367953777313,0.1556475609540939,4,Transference Number
6.084257986316288e-09,8.548535213037667e-09,0.674787163734436,0,TFSI Diffusivity
6.756205817026739e-09,9.602428185928602e-09,0.5800737738609314,1,TFSI Diffusivity
6.600759494546082e-09,8.96726870536213e-09,0.679937481880188,2,TFSI Diffusivity
7.213377450909775e-09,9.603298600779908e-09,0.5517144203186035,3,TFSI Diffusivity
6.8491323723662845e-09,9.721488503089404e-09,0.615901529788971,4,TFSI Diffusivity
4.3550900663547054e-09,5.732669450253525e-09,0.531136691570282,0,Li Diffusivity
4.94513185955725e-09,6.5742566945914405e-09,0.3226974010467529,1,Li Diffusivity
4.229935512967131e-09,5.471312292115726e-09,0.5725084543228149,2,Li Diffusivity
4.590191338138538e-09,5.9798255236387385e-09,0.4643689393997192,3,Li Diffusivity
4.730634106664411e-09,6.472567370963134e-09,0.4150373637676239,4,Li Diffusivity
1.603172677278053e-05,2.22210910578724e-05,0.5848817825317383,0,Conductivity
1.7748045138432644e-05,2.3997363314265385e-05,0.51503986120224,1,Conductivity
1.6607213183306158e-05,2.2648246158496477e-05,0.6346615552902222,2,Conductivity
1.5758059817017056e-05,2.143240453733597e-05,0.6248828768730164,3,Conductivity
1.795353637135122e-05,2.6063662517117336e-05,0.4532968401908874,4,Conductivity
