test/mae,test/rmse,test/r2,split,target
1.7286440197494812e-05,2.4042039513005875e-05,0.5140589475631714,0,Conductivity
1.806856926123146e-05,2.5257975721615367e-05,0.4627503752708435,1,Conductivity
1.6188661902560852e-05,2.2152338715386577e-05,0.6504853367805481,2,Conductivity
1.7222393580595963e-05,2.3054362827679142e-05,0.5659583806991577,3,Conductivity
1.783847801561933e-05,2.5414345145691183e-05,0.4801973402500152,4,Conductivity
3.318139762953365e-09,4.735867253913284e-09,0.8314040899276733,0,Poly Diffusivity
3.509377677346492e-09,5.129648705803902e-09,0.783929169178009,1,Poly Diffusivity
3.539384341166851e-09,5.201711950064691e-09,0.8134680390357971,2,Poly Diffusivity
3.184777108700132e-09,4.443207135551574e-09,0.8371914625167847,3,Poly Diffusivity
3.2433642438434163e-09,4.727150670902347e-09,0.8170005083084106,4,Poly Diffusivity
0.1706482619047165,0.2233576029539108,0.3077560067176819,0,Transference Number
0.1916361898183822,0.257836103439331,0.2136085480451584,1,Transference Number
0.175948828458786,0.2394339144229889,0.2819789946079254,2,Transference Number
0.1769048422574997,0.2327965497970581,0.4108690917491913,3,Transference Number
0.1913889795541763,0.2634080052375793,0.0515809319913387,4,Transference Number
4.506819806238127e-09,5.930897550854297e-09,0.4981507360935211,0,Li Diffusivity
4.997844804677243e-09,6.576943878400243e-09,0.3221435546875,1,Li Diffusivity
4.655370755557442e-09,5.9243894234839445e-09,0.4987761974334717,2,Li Diffusivity
4.753155646852747e-09,6.2312115467477724e-09,0.4183875322341919,3,Li Diffusivity
4.618819549051523e-09,6.280316711126943e-09,0.4492708146572113,4,Li Diffusivity
6.503037663918576e-09,8.99457663905423e-09,0.6399641633033752,0,TFSI Diffusivity
6.7611241050258294e-09,9.447967741493812e-09,0.5934746265411377,1,TFSI Diffusivity
6.67330057879667e-09,9.331060368822364e-09,0.6534415483474731,2,TFSI Diffusivity
7.356304898564758e-09,9.919361332322296e-09,0.5217210054397583,3,TFSI Diffusivity
7.059011153387473e-09,1.0051957488599328e-08,0.5893438458442688,4,TFSI Diffusivity
