test/mae,test/rmse,test/r2,split,target
1.6431778931291774e-05,2.1593541532638483e-05,1.0,0,Conductivity
1.682375295786187e-05,2.2498585167340934e-05,1.0,1,Conductivity
1.679546585364733e-05,2.234053499705624e-05,1.0,2,Conductivity
1.654285915719811e-05,2.21412192331627e-05,1.0,3,Conductivity
1.765359593264293e-05,2.4659442715346813e-05,1.0,4,Conductivity
6.5585381570087975e-09,8.657508487885934e-09,1.0,0,TFSI Diffusivity
7.41900141321139e-09,9.912334064665629e-09,1.0,1,TFSI Diffusivity
6.767707727561856e-09,9.058562788766267e-09,1.0,2,TFSI Diffusivity
7.328387230387534e-09,1.0014521656387387e-08,1.0,3,TFSI Diffusivity
7.50412265659861e-09,1.0537265282550834e-08,1.0,4,TFSI Diffusivity
4.2678460765444015e-09,5.484633636143599e-09,1.0,0,Li Diffusivity
4.760451588481374e-09,6.2941589717979696e-09,1.0,1,Li Diffusivity
4.41274350393428e-09,5.657915469470254e-09,1.0,2,Li Diffusivity
4.694895583412517e-09,5.980567596708397e-09,1.0,3,Li Diffusivity
4.794189489842893e-09,6.306519306775726e-09,1.0,4,Li Diffusivity
2.9584894534195882e-09,4.17576684341725e-09,1.0,0,Poly Diffusivity
3.7360079474524355e-09,5.287976723167276e-09,1.0,1,Poly Diffusivity
3.3449629732729136e-09,4.590998248232836e-09,1.0,2,Poly Diffusivity
3.4043901031566293e-09,4.694193478371744e-09,1.0,3,Poly Diffusivity
3.5159550826335817e-09,5.117046342206777e-09,1.0,4,Poly Diffusivity
0.16728131473064423,0.21373772621154785,0.3661010265350342,0,Transference Number
0.19112369418144226,0.253601610660553,0.23922640085220337,1,Transference Number
0.17514640092849731,0.2322210669517517,0.32458746433258057,2,Transference Number
0.1792626827955246,0.24755814671516418,0.33378684520721436,3,Transference Number
0.16649800539016724,0.22224336862564087,0.32485049962997437,4,Transference Number
