test/mae,test/rmse,test/r2,split,target
0.1673560887575149,0.2237700372934341,0.305197149515152,0,Transference Number
0.1867417097091674,0.2479040175676345,0.2730265855789184,1,Transference Number
0.1663996577262878,0.2224423140287399,0.3802727162837982,2,Transference Number
0.1859239339828491,0.2559988498687744,0.2875821590423584,3,Transference Number
0.1730595082044601,0.2371133118867874,0.2314817160367965,4,Transference Number
5.8775122546705916e-09,8.222396097323781e-09,0.6991285085678101,0,TFSI Diffusivity
6.5315881592198374e-09,9.017918856102371e-09,0.629640519618988,1,TFSI Diffusivity
6.632344895507458e-09,9.098614306424224e-09,0.6704927682876587,2,TFSI Diffusivity
6.279514241924744e-09,8.507352156073011e-09,0.6481944918632507,3,TFSI Diffusivity
6.498666049736812e-09,9.252604904474993e-09,0.6520593762397766,4,TFSI Diffusivity
4.101536887901602e-09,5.578165929165379e-09,0.5560691952705383,0,Li Diffusivity
4.662446428937983e-09,6.0873337481837106e-09,0.4193109273910522,1,Li Diffusivity
4.429583810861004e-09,5.520800705482998e-09,0.5647401213645935,2,Li Diffusivity
4.529181918400127e-09,5.879539521913557e-09,0.4821840822696686,3,Li Diffusivity
4.5086778754921405e-09,5.971501959578518e-09,0.5021000504493713,4,Li Diffusivity
1.591566797287669e-05,2.1305078917066567e-05,0.6184009313583374,0,Conductivity
1.701373366813641e-05,2.338115154998377e-05,0.5396260023117065,1,Conductivity
1.639693982724566e-05,2.1882238797843456e-05,0.6589565277099609,2,Conductivity
1.6028565369197167e-05,2.1797999579575844e-05,0.6119762063026428,3,Conductivity
1.6691372366040014e-05,2.32640013564378e-05,0.5644384026527405,4,Conductivity
2.954356759232723e-09,4.095960903782725e-09,0.8738871216773987,0,Poly Diffusivity
3.3199767379699093e-09,4.931072439262607e-09,0.8003341555595398,1,Poly Diffusivity
3.3158178425196642e-09,4.715065671234697e-09,0.8467374444007874,2,Poly Diffusivity
3.0291258390491294e-09,4.200659375896976e-09,0.8544812798500061,3,Poly Diffusivity
2.937732057617381e-09,4.20263024381029e-09,0.855358362197876,4,Poly Diffusivity
