target,split,test/mae,test/r2,test/rmse
TFSI Diffusivity,0,6.207371949784601e-09,1.0,8.242162508054207e-09
TFSI Diffusivity,1,6.657329354453623e-09,1.0,9.00396557312888e-09
TFSI Diffusivity,2,6.550548548034385e-09,1.0,8.903247916691726e-09
TFSI Diffusivity,3,6.563777965595818e-09,1.0,8.787798044807005e-09
TFSI Diffusivity,4,6.476026381818656e-09,1.0,9.086139840519536e-09
Conductivity,0,1.530739427835215e-05,1.0,2.031192161666695e-05
Conductivity,1,1.605510806257371e-05,1.0,2.1764564735349268e-05
Conductivity,2,1.5552986951661296e-05,1.0,2.0800578568014316e-05
Conductivity,3,1.622784293431323e-05,1.0,2.168704850191716e-05
Conductivity,4,1.6731171854189597e-05,1.0,2.299936932104174e-05
Li Diffusivity,0,4.184972812737442e-09,1.0,5.416753268150387e-09
Li Diffusivity,1,4.622227489647912e-09,1.0,5.864685181933282e-09
Li Diffusivity,2,4.20579970850099e-09,1.0,5.3781650244388865e-09
Li Diffusivity,3,4.397151087687234e-09,1.0,5.701137339997331e-09
Li Diffusivity,4,4.3653347603367365e-09,1.0,5.706674688354951e-09
Poly Diffusivity,0,3.1136051514835113e-09,1.0,4.276526244240131e-09
Poly Diffusivity,1,3.400282277965516e-09,1.0,4.783556661891453e-09
Poly Diffusivity,2,3.373950896445876e-09,1.0,4.58799487290662e-09
Poly Diffusivity,3,3.264971626393276e-09,1.0,4.484861371167881e-09
Poly Diffusivity,4,3.183225461000916e-09,1.0,4.414122400930864e-09
Transference Number,0,0.1559976786375045,0.4184991121292114,0.2047134339809417
Transference Number,1,0.1704985648393631,0.4075126647949219,0.2238019406795501
Transference Number,2,0.158073753118515,0.4378453493118286,0.2118580490350723
Transference Number,3,0.1681430041790008,0.464374840259552,0.2219734787940979
Transference Number,4,0.1581151634454727,0.3814592361450195,0.2127222865819931
