target,split,test/mae,test/r2,test/rmse,model
Conductivity,0,1.792000867796137e-05,0.5368224216756528,2.347217089448667e-05,Linear
TFSI Diffusivity,0,7.081703813673704e-09,0.6066709459017167,9.4012562525441e-09,Linear
Li Diffusivity,0,4.565590032592508e-09,0.47847288977269387,6.0460567158873105e-09,Linear
Poly Diffusivity,0,3.9483532570002295e-09,0.8006530571298457,5.149686889704386e-09,Linear
Transference Number,0,0.1667646972832897,0.3531392158903316,0.21591188448448376,Linear
Conductivity,0,1.529837707563025e-05,0.6442216120443243,2.057165707487216e-05,RF
TFSI Diffusivity,0,6.845371865546217e-09,0.6439867152865992,8.944189226130574e-09,RF
Li Diffusivity,0,4.331618050420168e-09,0.548531281520227,5.625324815527328e-09,RF
Poly Diffusivity,0,3.1893764369747894e-09,0.8473199764987939,4.506788143501539e-09,RF
Transference Number,0,0.16149144094789913,0.40741961562832174,0.20665445503597027,RF
Conductivity,0,1.701127136208117e-05,0.5600236094185783,2.2876742348026528e-05,XGB
TFSI Diffusivity,0,7.135832147174353e-09,0.5970658118749981,9.515353685597829e-09,XGB
Li Diffusivity,0,4.7133702117753795e-09,0.45337978234963505,6.18980001464849e-09,XGB
Poly Diffusivity,0,3.4668038343003647e-09,0.8186096148585561,4.912280586757171e-09,XGB
Transference Number,0,0.17288538766960182,0.32702074877405507,0.22022771555075277,XGB
Conductivity,1,1.863812193805673e-05,0.5095515124748347,2.4132771083739206e-05,Linear
TFSI Diffusivity,1,7.699299839741313e-09,0.5420925854716856,1.0027286275330656e-08,Linear
Li Diffusivity,1,4.900264519899619e-09,0.39721662157896653,6.202059126886826e-09,Linear
Poly Diffusivity,1,4.044796094535315e-09,0.7596442697917585,5.410243228162166e-09,Linear
Transference Number,1,0.17806440004401378,0.37506621011664953,0.22984830335384923,Linear
Conductivity,1,1.6736456941176466e-05,0.5834437246657611,2.2240642756884098e-05,RF
TFSI Diffusivity,1,7.074962957983192e-09,0.58828834191868,9.50804346820501e-09,RF
Li Diffusivity,1,4.625570420168067e-09,0.44561057393593495,5.947887386473459e-09,RF
Poly Diffusivity,1,3.504914386554621e-09,0.8011651381343148,4.920801154055362e-09,RF
Transference Number,1,0.1758751846487395,0.3936762457038756,0.22640008741350762,RF
Conductivity,1,1.72158344482193e-05,0.5555598220987714,2.2972970236857368e-05,XGB
TFSI Diffusivity,1,7.752986667343312e-09,0.48508982426799996,1.0633110164976832e-08,XGB
Li Diffusivity,1,4.79831343994566e-09,0.3908795926770312,6.234574846611434e-09,XGB
Poly Diffusivity,1,3.779832012524824e-09,0.7685989331030036,5.3085049712904535e-09,XGB
Transference Number,1,0.18965936139246267,0.283105151878946,0.24617958107328056,XGB
Conductivity,2,1.7680942844802893e-05,0.6031632934333437,2.3604390815414142e-05,Linear
TFSI Diffusivity,2,7.243955329828213e-09,0.6319027678067004,9.616654431751224e-09,Linear
Li Diffusivity,2,4.616381440006367e-09,0.5099026691224287,5.858263661777919e-09,Linear
Poly Diffusivity,2,3.872721653551772e-09,0.8152073619842896,5.177403692485118e-09,Linear
Transference Number,2,0.16744048926037755,0.41116215615728124,0.21682778387454668,Linear
Conductivity,2,1.6292296302521008e-05,0.6614101640647221,2.1803380642040475e-05,RF
TFSI Diffusivity,2,6.831035764705883e-09,0.6648027573893154,9.176835630663571e-09,RF
Li Diffusivity,2,4.480779663865545e-09,0.5485080685290827,5.622801371653119e-09,RF
Poly Diffusivity,2,3.282486218487394e-09,0.8568560782893864,4.556759966728459e-09,RF
Transference Number,2,0.16698463487731094,0.39624493018632334,0.21955709173954657,RF
Conductivity,2,1.7342150772492955e-05,0.6154844132705286,2.3235062915364203e-05,XGB
TFSI Diffusivity,2,7.185801190743684e-09,0.639838704544203,9.512425186989138e-09,XGB
Li Diffusivity,2,4.5580727145349e-09,0.5056742538677467,5.88348107221599e-09,XGB
Poly Diffusivity,2,3.533669402801608e-09,0.8315732028571553,4.942825647387193e-09,XGB
Transference Number,2,0.17954702420269592,0.30397162943799116,0.23573851596752862,XGB
Conductivity,3,1.689533202342931e-05,0.5919552759355012,2.2353284476208833e-05,Linear
TFSI Diffusivity,3,7.429865240908146e-09,0.5527310821784241,9.592403225744574e-09,Linear
Li Diffusivity,3,4.6891619314549856e-09,0.45852349108115165,6.012365933845365e-09,Linear
Poly Diffusivity,3,3.58615213215776e-09,0.8151519715441227,4.7344047873843024e-09,Linear
Transference Number,3,0.18118976663162054,0.36377015465527196,0.2419232648595127,Linear
Conductivity,3,1.556114662184874e-05,0.6476781261712055,2.077099328118146e-05,RF
TFSI Diffusivity,3,7.097404605042017e-09,0.5928687487528925,9.151879369842637e-09,RF
Li Diffusivity,3,4.5549438991596635e-09,0.4914061528250012,5.826948051289533e-09,RF
Poly Diffusivity,3,3.10212181512605e-09,0.8479103901739036,4.29445195564602e-09,RF
Transference Number,3,0.17497322139831933,0.41193650145731586,0.2325855489580718,RF
Conductivity,3,1.6160788916741038e-05,0.6151311358614884,2.170920155390057e-05,XGB
TFSI Diffusivity,3,7.64009540632898e-09,0.5105701095113881,1.0034328429868094e-08,XGB
Li Diffusivity,3,4.7819481241005575e-09,0.4162541049038183,6.2426288503185415e-09,XGB
Poly Diffusivity,3,3.340221764345809e-09,0.8254159860639546,4.601084536516082e-09,XGB
Transference Number,3,0.18407735956743876,0.34856126255528064,0.24479774108284041,XGB
Conductivity,4,1.8321251583964436e-05,0.4744011353450198,2.555564529819014e-05,Linear
TFSI Diffusivity,4,7.343388176629123e-09,0.5880339028824927,1.0067976356318208e-08,Linear
Li Diffusivity,4,4.807739237105267e-09,0.4310259220030972,6.383498395741922e-09,Linear
Poly Diffusivity,4,3.5610776806452413e-09,0.7971831362609427,4.976529366523202e-09,Linear
Transference Number,4,0.16808589383509942,0.33415579611694035,0.220706511156541,Linear
Conductivity,4,1.7082965613445374e-05,0.5158925554241911,2.452621455130647e-05,RF
TFSI Diffusivity,4,7.05175455462185e-09,0.596648903477687,9.962149834307485e-09,RF
Li Diffusivity,4,4.420648470588235e-09,0.517561482838868,5.878053034664975e-09,RF
Poly Diffusivity,4,3.082813781512605e-09,0.8380308388848764,4.4472414235712544e-09,RF
Transference Number,4,0.1609070792436975,0.346386966872527,0.21866999026064915,RF
Conductivity,4,1.8094564552597867e-05,0.418089716014289,2.6889805363940145e-05,XGB
TFSI Diffusivity,4,7.211276332824374e-09,0.5705125717989824,1.0279847602662937e-08,XGB
Li Diffusivity,4,4.711527187924207e-09,0.42787882817130807,6.4011281667501394e-09,XGB
Poly Diffusivity,4,3.396963530648532e-09,0.8069709441512967,4.854962536989472e-09,XGB
Transference Number,4,0.17478579801978578,0.24891713839686558,0.23440817841375688,XGB
