test/mae,test/rmse,test/r2,split,target
2.916686892007192e-09,4.10657818861182e-09,0.8732324838638306,0,Poly Diffusivity
3.639844869951503e-09,5.116151058359719e-09,0.7850648164749146,1,Poly Diffusivity
3.511970936287412e-09,4.809949327722052e-09,0.8405070304870605,2,Poly Diffusivity
3.5369067674650982e-09,5.03594144163344e-09,0.7908560037612915,3,Poly Diffusivity
3.243290302989976e-09,4.594330249574341e-09,0.827139675617218,4,Poly Diffusivity
1.6061807400546968e-05,2.1053434466011826e-05,0.6273621916770935,0,Conductivity
1.7483895135228522e-05,2.3688609871896915e-05,0.5274386405944824,1,Conductivity
1.7107911844504997e-05,2.2814390831626952e-05,0.6292816996574402,2,Conductivity
1.6995565601973794e-05,2.4223272703238763e-05,0.5208288431167603,3,Conductivity
1.8218426703242585e-05,2.4627735911053605e-05,0.5118765234947205,4,Conductivity
4.243814188953365e-09,5.5098574591738725e-09,0.5668750405311584,0,Li Diffusivity
4.651649287978898e-09,6.090292270499731e-09,0.4187462329864502,1,Li Diffusivity
4.409694831508659e-09,5.711467299107653e-09,0.5341566205024719,2,Li Diffusivity
4.613297299727037e-09,5.966144023261677e-09,0.4668170511722564,3,Li Diffusivity
4.849046497668041e-09,6.422471887645997e-09,0.4240570962429046,4,Li Diffusivity
6.435576072050253e-09,8.67890559419493e-09,0.6647921204566956,0,TFSI Diffusivity
7.220923414763547e-09,9.647255438949289e-09,0.5761439800262451,1,TFSI Diffusivity
6.743304137302175e-09,9.056813077279458e-09,0.6735134720802307,2,TFSI Diffusivity
7.181290673230478e-09,9.945906320751874e-09,0.5191578269004822,3,TFSI Diffusivity
7.3231016806118995e-09,1.0452996690446524e-08,0.5559226274490356,4,TFSI Diffusivity
0.1733500957489013,0.2264451384544372,0.2884854674339294,0,Transference Number
0.1959434151649475,0.2621000707149505,0.1873835027217865,1,Transference Number
0.1681320816278457,0.2242986410856247,0.3698859810829162,2,Transference Number
0.1841598004102707,0.2545139491558075,0.2958226501941681,3,Transference Number
0.1875945627689361,0.2550404071807861,0.1108800917863845,4,Transference Number
