test/mae,test/rmse,test/r2,split,target
1.621443334443029e-05,2.2006664949003607e-05,1.0,0,Conductivity
1.6351898011635058e-05,2.193277578044217e-05,1.0,1,Conductivity
1.6464555301354267e-05,2.201941424573306e-05,1.0,2,Conductivity
1.5040493053675164e-05,2.0677645807154477e-05,1.0,3,Conductivity
1.6679543477948755e-05,2.3233915271703154e-05,1.0,4,Conductivity
6.075183467402212e-09,8.401394246959626e-09,1.0,0,TFSI Diffusivity
6.589694123704248e-09,9.042106619006063e-09,1.0,1,TFSI Diffusivity
6.445943778743413e-09,8.820737029680004e-09,1.0,2,TFSI Diffusivity
6.512211214726449e-09,8.734220457995434e-09,1.0,3,TFSI Diffusivity
6.978509325961113e-09,9.666774936079037e-09,1.0,4,TFSI Diffusivity
4.1393675154211e-09,5.56000978590987e-09,1.0,0,Li Diffusivity
4.726347757610938e-09,6.2593752403472536e-09,1.0,1,Li Diffusivity
4.465414260579337e-09,5.692773807908225e-09,1.0,2,Li Diffusivity
4.5056900432882685e-09,5.860361973475392e-09,1.0,3,Li Diffusivity
4.586410806695085e-09,5.964973404104512e-09,1.0,4,Li Diffusivity
2.9914535293329436e-09,4.351448090744725e-09,1.0,0,Poly Diffusivity
3.3134366361764478e-09,4.749145965377011e-09,1.0,1,Poly Diffusivity
3.209457810626759e-09,4.432148426047888e-09,1.0,2,Poly Diffusivity
3.087833322368283e-09,4.250683360851326e-09,1.0,3,Poly Diffusivity
2.8703690535536452e-09,4.21249435333948e-09,1.0,4,Poly Diffusivity
0.1685943901538849,0.2245064079761505,0.3006168007850647,0,Transference Number
0.1829402893781662,0.2445354163646698,0.29264914989471436,1,Transference Number
0.17291869223117828,0.2267778068780899,0.35587966442108154,2,Transference Number
0.17302173376083374,0.23676703870296478,0.3906016945838928,3,Transference Number
0.15883295238018036,0.21703298389911652,0.3561364412307739,4,Transference Number
