target,split,test/mae,test/r2,test/rmse,model
bandgap_chain,0,1.2494728235443335,-0.0966886525056374,1.5251687975829649,Linear
bandgap_chain,0,1.2435258159806297,-0.08418272031397755,1.5164478421355339,RF
bandgap_chain,0,1.223976673953816,-0.02858833299217345,1.4770562471129083,XGB
bandgap_chain,1,1.2299738442427888,-0.10483377527039162,1.4851723297457242,Linear
bandgap_chain,1,1.205097236803874,-0.11723041223783026,1.493481174664136,RF
bandgap_chain,1,1.1806074729605391,-0.03322016230183844,1.4362327127190437,XGB
bandgap_chain,2,1.304708553791739,-0.09594787276445071,1.5232497867632773,Linear
bandgap_chain,2,1.3309769297820822,-0.18628233322685173,1.5847844759349419,RF
bandgap_chain,2,1.2768239647862987,-0.051460928788345184,1.492013479221642,XGB
bandgap_chain,3,1.225595594218626,-0.07422058492637618,1.4775155400038185,Linear
bandgap_chain,3,1.2233315239709441,-0.08513188491413093,1.4850004475055365,RF
bandgap_chain,3,1.222110894179633,-0.043441880753261275,1.45619472730195,XGB
bandgap_chain,4,1.2413067767062431,-0.10327525156629891,1.513366020424634,Linear
bandgap_chain,4,1.2190254736077482,-0.048102250949234815,1.4750402364159922,RF
bandgap_chain,4,1.1946691969689098,-0.014391288475098296,1.4511249051723585,XGB
