target,split,test/mae,test/r2,test/rmse
delta_optical_lumo,0,0.0359827429056167,0.8860706090927124,0.0507939495146274
delta_optical_lumo,1,0.0347393527626991,0.8760952353477478,0.0544658191502094
delta_optical_lumo,2,0.0350041426718235,0.8740295171737671,0.0549901276826858
delta_optical_lumo,3,0.0336717180907726,0.8904000520706177,0.0499502345919609
delta_optical_lumo,4,0.0353639349341392,0.8482728004455566,0.0603901334106922
optical_lumo_extrapolated,0,0.0639932602643966,0.965578317642212,0.0937661305069923
optical_lumo_extrapolated,1,0.0623167790472507,0.9660018682479858,0.0957083776593208
optical_lumo_extrapolated,2,0.0642557293176651,0.9639533758163452,0.0956005081534385
optical_lumo_extrapolated,3,0.062470331788063,0.9667541980743408,0.0957459062337875
optical_lumo_extrapolated,4,0.0612172782421112,0.965495467185974,0.095490463078022
delta_homo,0,0.0344878025352954,0.8169607520103455,0.0524202026426792
delta_homo,1,0.0356574989855289,0.6900718212127686,0.0694847628474235
delta_homo,2,0.0331543013453483,0.8002755641937256,0.0538586750626564
delta_homo,3,0.0401376672089099,0.6942751407623291,0.0673130750656127
delta_homo,4,0.0338541530072689,0.7428579926490784,0.0654432475566864
homo,0,0.0361732207238674,0.9863558411598206,0.0563687980175018
homo,1,0.0399390310049057,0.9861264824867249,0.0612573102116584
homo,2,0.0331624299287796,0.9887321591377258,0.0519369654357433
homo,3,0.0380485020577907,0.9848821759223938,0.0627515017986297
homo,4,0.0355100370943546,0.9815377593040466,0.0676092877984047
delta_lumo,0,0.0329717881977558,0.8970022797584534,0.0484256260097026
delta_lumo,1,0.0338450446724891,0.8890531063079834,0.0510639436542987
delta_lumo,2,0.0320689640939235,0.8805054426193237,0.052481323480606
delta_lumo,3,0.032676126807928,0.9007723331451416,0.0470745041966438
delta_lumo,4,0.0325676426291465,0.8834719657897949,0.0529681406915187
lumo,0,0.0297634806483984,0.9945275187492372,0.0429350212216377
lumo,1,0.0324505046010017,0.9935765266418456,0.0477255880832672
lumo,2,0.0311700925230979,0.993138551712036,0.0481958426535129
lumo,3,0.0304282419383525,0.9938739538192748,0.0462318658828735
lumo,4,0.0349035114049911,0.991497039794922,0.0545262172818183
lumo_extrapolated,0,0.0641508996486663,0.9723522067070008,0.0922841504216194
lumo_extrapolated,1,0.0622621551156044,0.9739194512367249,0.092342160642147
lumo_extrapolated,2,0.062170211225748,0.9656651616096495,0.1017287150025367
lumo_extrapolated,3,0.0651195421814918,0.9716273546218872,0.0948025733232498
lumo_extrapolated,4,0.0621994137763977,0.9728711247444152,0.0924021676182746
spectral_overlap,0,110.36158752441406,0.9808714389801024,185.6529235839844
spectral_overlap,1,113.99542999267578,0.9791402220726012,184.04296875
spectral_overlap,2,116.01858520507812,0.9810339212417604,181.24606323242188
spectral_overlap,3,114.87413787841795,0.9818830490112304,179.5609130859375
spectral_overlap,4,109.04646301269533,0.9823412299156188,182.03707885742188
homo_extrapolated,0,0.0637915730476379,0.9644256830215454,0.10050730407238
homo_extrapolated,1,0.0645945146679878,0.9596163630485536,0.1123650893568992
homo_extrapolated,2,0.0606156028807163,0.9698244333267212,0.0917592793703079
homo_extrapolated,3,0.0647248849272728,0.9668712019920348,0.102488487958908
homo_extrapolated,4,0.0635247156023979,0.9641790390014648,0.1006227433681488
gap_extrapolated,0,0.0695327967405319,0.9359325170516968,0.1098911613225936
gap_extrapolated,1,0.0691334679722786,0.9222772717475892,0.1211027354001998
gap_extrapolated,2,0.0701787546277046,0.9173691272735596,0.1202172487974166
gap_extrapolated,3,0.0751198828220367,0.9322230815887452,0.1141368448734283
gap_extrapolated,4,0.0676797479391098,0.9408792853355408,0.1041486039757728
optical_lumo,0,0.0371832624077796,0.9890148043632508,0.0563730262219905
optical_lumo,1,0.0389576777815818,0.9892037510871888,0.058278601616621
optical_lumo,2,0.0357875302433967,0.989929497241974,0.0544790774583816
optical_lumo,3,0.0373792275786399,0.9890596866607666,0.0586270652711391
optical_lumo,4,0.0393883176147937,0.9869416356086732,0.0633278787136077
