target,split,test/mae,test/r2,test/rmse,model
delta_homo,0,0.043622753748304155,0.7551421457933016,0.06062945772443435,Linear
delta_homo,0,0.03480856115399045,0.820171113155035,0.05195847456283832,RF
delta_homo,0,0.03558516473226261,0.8123033321030183,0.05308293723721975,XGB
delta_homo,1,0.04445548459427049,0.6741684694007448,0.07124519675630561,Linear
delta_homo,1,0.03685978183317262,0.7500480936966515,0.06240038404789659,RF
delta_homo,1,0.03791822407307518,0.6850272704689454,0.0700479633947072,XGB
delta_homo,2,0.044233596797944794,0.7270467998213379,0.06296281432476969,Linear
delta_homo,2,0.036372294387354155,0.7965869716722878,0.05435373835482516,RF
delta_homo,2,0.037120172934449296,0.7833426504355557,0.056095335486861096,XGB
delta_homo,3,0.04459378131060734,0.6502443309342779,0.07199732909784848,Linear
delta_homo,3,0.03540152056110232,0.7228983010564516,0.06408458829525854,RF
delta_homo,3,0.03713813310991856,0.7238305859920027,0.06397669391383873,XGB
delta_homo,4,0.04211189990433768,0.7086506214974553,0.06966030850840917,Linear
delta_homo,4,0.03596412701030795,0.7483697015026542,0.06473807954364834,RF
delta_homo,4,0.03676318992330928,0.7364246854368524,0.06625683894826769,XGB
