target,split,test/mae,test/r2,test/rmse,model
gap_extrapolated,0,0.13172965787162544,0.8268257000765802,0.18066958402707714,Linear
gap_extrapolated,0,0.08664711420550252,0.9080073696417383,0.13168000754935205,RF
gap_extrapolated,0,0.08717149654138898,0.906428849609999,0.13280496409304612,XGB
gap_extrapolated,1,0.13517221360701914,0.7994297422687688,0.19454241171961326,Linear
gap_extrapolated,1,0.08531754126895003,0.8947609525023801,0.14091897757510105,RF
gap_extrapolated,1,0.08881608445565396,0.8913383489045934,0.1431921398122695,XGB
gap_extrapolated,2,0.133244577271613,0.8020010715714876,0.1860914454284946,Linear
gap_extrapolated,2,0.08683935642897249,0.8890310309896937,0.13931432171363886,RF
gap_extrapolated,2,0.08764503949983009,0.8880743808907827,0.1399135390230636,XGB
gap_extrapolated,3,0.13269971466931915,0.8099889909171611,0.19110642298212324,Linear
gap_extrapolated,3,0.0849830231330713,0.903320005001815,0.1363183156023269,RF
gap_extrapolated,3,0.08364068950618805,0.9121511175633998,0.12994333897347285,XGB
gap_extrapolated,4,0.12658024647475494,0.8253207506388633,0.1790211058600649,Linear
gap_extrapolated,4,0.07807580830993824,0.9271074241404483,0.11564456472070675,RF
gap_extrapolated,4,0.07745358443771568,0.9281053702840675,0.11485021239867696,XGB
