target,split,test/mae,test/r2,test/rmse,model
lumo,0,0.1259314285568228,0.9118056064459253,0.17236119938162553,Linear
lumo,0,0.054017186697249024,0.9827740194914867,0.07617474237191126,RF
lumo,0,0.055286507112820425,0.9816581029615844,0.07860336598297485,XGB
lumo,1,0.12770382285607085,0.9134086403536223,0.17522781970054352,Linear
lumo,1,0.05090579520018425,0.9851198826878806,0.07263884922794288,RF
lumo,1,0.05252894740904469,0.9845546933903682,0.07400550811019019,XGB
lumo,2,0.12417723737949493,0.9133766492274924,0.17124554180939575,Linear
lumo,2,0.055931500074815274,0.9815660777696018,0.07899701110477776,RF
lumo,2,0.05357663739616115,0.9827713675686176,0.07637077312583124,XGB
lumo,3,0.12395490688490111,0.9169449212849966,0.1702294039192687,Linear
lumo,3,0.05435948511852083,0.9834678883486063,0.07594787836294117,RF
lumo,3,0.05458251903723898,0.9836130069736254,0.07561380897155173,XGB
lumo,4,0.1262001028404121,0.9146622251879214,0.17273910383758226,Linear
lumo,4,0.05577414829928526,0.9807095058850348,0.08212808207982475,RF
lumo,4,0.05648090872477148,0.9804331569643715,0.08271425939560861,XGB
