target,split,test/mae,test/r2,test/rmse,model
lumo_extrapolated,0,0.11672560402901723,0.9189400570153499,0.15801545362460445,Linear
lumo_extrapolated,0,0.08065600820504489,0.9583866947729927,0.11321722898927919,RF
lumo_extrapolated,0,0.08292097542894881,0.9570013314858229,0.11508637717508192,XGB
lumo_extrapolated,1,0.11868942244836644,0.9186912330419023,0.1630462066347751,Linear
lumo_extrapolated,1,0.08450431209341008,0.9544534567346457,0.1220308742372718,RF
lumo_extrapolated,1,0.08367117290832464,0.9567441206785369,0.11892265161191497,XGB
lumo_extrapolated,2,0.11294075453804174,0.9183949027256086,0.15683210621696728,Linear
lumo_extrapolated,2,0.08073606346914994,0.9588853440238183,0.1113203753207797,RF
lumo_extrapolated,2,0.08293069523273439,0.9575852919243671,0.11306666245671701,XGB
lumo_extrapolated,3,0.11221099944408064,0.9243593443421798,0.15479155871730918,Linear
lumo_extrapolated,3,0.0791823032326798,0.9595207360307636,0.11323636894385232,RF
lumo_extrapolated,3,0.07939338946480362,0.9610004532443371,0.11114742638160564,XGB
lumo_extrapolated,4,0.11698151818169845,0.9199898890321474,0.1586862578770989,Linear
lumo_extrapolated,4,0.07600770340701657,0.9620791987295203,0.10924602282011671,RF
lumo_extrapolated,4,0.08065224112013471,0.9595165828363474,0.11287700152667325,XGB
