target,split,test/mae,test/r2,test/rmse
gap_extrapolated,0,0.0722603723406791,0.9335201382637024,0.1119409054517746
gap_extrapolated,1,0.0711959153413772,0.9171360731124878,0.125043973326683
gap_extrapolated,2,0.075428768992424,0.9070842266082764,0.1274795085191726
gap_extrapolated,3,0.0711315125226974,0.9335258603096008,0.1130345910787582
gap_extrapolated,4,0.0688565745949745,0.941028356552124,0.1040172055363655
delta_optical_lumo,0,0.0372598096728324,0.8756440877914429,0.0530673302710056
delta_optical_lumo,1,0.0367822609841823,0.867796003818512,0.0562603361904621
delta_optical_lumo,2,0.0357344858348369,0.8693013191223145,0.0560126304626464
delta_optical_lumo,3,0.0345977284014225,0.8829938769340515,0.0516103394329547
delta_optical_lumo,4,0.0375975593924522,0.84160315990448,0.0617031678557395
optical_lumo_extrapolated,0,0.0649194866418838,0.9638283848762512,0.0961200222373008
optical_lumo_extrapolated,1,0.0661126226186752,0.9622284173965454,0.1008799448609352
optical_lumo_extrapolated,2,0.0647692382335662,0.9608898758888244,0.099580094218254
optical_lumo_extrapolated,3,0.0603264980018138,0.9695633053779602,0.0916116759181022
optical_lumo_extrapolated,4,0.0651339218020439,0.9620030522346495,0.1002065613865852
gap,0,0.0409786403179168,0.977103352546692,0.065163180232048
gap,1,0.0442255362868309,0.9714011549949646,0.074632778763771
gap,2,0.0390250422060489,0.9811804294586182,0.0591502264142036
gap,3,0.0385189652442932,0.9737737774848938,0.0710929408669471
gap,4,0.040179569274187,0.9826101660728456,0.060055561363697
spectral_overlap,0,109.58707427978516,0.9801738262176514,189.00791931152344
spectral_overlap,1,108.34331512451172,0.979642689228058,181.81285095214844
spectral_overlap,2,107.86060333251952,0.979922652244568,186.4802093505859
spectral_overlap,3,107.93660736083984,0.9833847880363464,171.95794677734375
spectral_overlap,4,112.16646575927734,0.9821894764900208,182.81773376464844
homo,0,0.0371711775660514,0.9863839149475098,0.056310761719942
homo,1,0.0361455082893371,0.9872156381607056,0.0588036477565765
homo,2,0.0369696393609046,0.9817962050437928,0.0660141333937645
homo,3,0.0354109928011894,0.9875684380531312,0.05690398812294
homo,4,0.0367348976433277,0.9819058179855348,0.0669320151209831
delta_homo,0,0.0361522622406482,0.7929820418357849,0.0557481683790683
delta_homo,1,0.0371674485504627,0.6811720132827759,0.0704753473401069
delta_homo,2,0.035660546272993,0.7104712724685669,0.0648464038968086
delta_homo,3,0.0359278358519077,0.7327200174331665,0.0629386305809021
delta_homo,4,0.0349851846694946,0.7540894746780396,0.0639980733394622
lumo_extrapolated,0,0.0635776370763778,0.9714070558547974,0.0938483476638794
lumo_extrapolated,1,0.0615137554705143,0.9730451703071594,0.0938772112131118
lumo_extrapolated,2,0.065183624625206,0.9295333623886108,0.1457363814115524
lumo_extrapolated,3,0.058930967003107,0.9742206335067748,0.0903662517666816
lumo_extrapolated,4,0.0623818486928939,0.9734323620796204,0.0914414301514625
delta_lumo,0,0.0339857339859008,0.8945016860961914,0.0490099489688873
delta_lumo,1,0.0334746912121772,0.8857296109199524,0.0518231391906738
delta_lumo,2,0.0336325243115425,0.8801790475845337,0.0525529533624649
delta_lumo,3,0.0331474021077156,0.8950895071029663,0.0484037213027477
delta_lumo,4,0.0355218239128589,0.8806548118591309,0.0536045916378498
lumo,0,0.0320091433823108,0.9930525422096252,0.0483762994408607
lumo,1,0.0345597527921199,0.9931215643882751,0.0493867956101894
lumo,2,0.0315020345151424,0.993526577949524,0.0468133203685283
lumo,3,0.0317105092108249,0.9935322999954224,0.0475035645067691
lumo,4,0.03132876008749,0.9929940104484558,0.0494942255318164
homo_extrapolated,0,0.065918356180191,0.9651148319244384,0.0995290130376815
homo_extrapolated,1,0.0664759874343872,0.9520394802093506,0.122453324496746
homo_extrapolated,2,0.0669414922595024,0.9214768409729004,0.1480202972888946
homo_extrapolated,3,0.0632886439561843,0.9649115800857544,0.1054761335253715
homo_extrapolated,4,0.06368950009346,0.9613991975784302,0.1044540926814079
