target,split,test/mae,test/r2,test/rmse,model
delta_homo,0,0.0465644749515121,0.7256778470640144,0.064173703667628,Linear
delta_homo,0,0.03865397582519877,0.7911458716062201,0.0559948642891558,RF
delta_homo,0,0.03888440788678826,0.7817048549463557,0.0572464687986245,XGB
delta_homo,1,0.04845096819681157,0.6279417532242397,0.07613152048754977,Linear
delta_homo,1,0.03808731776425577,0.7295072671049492,0.06491377065849972,RF
delta_homo,1,0.03872013349758236,0.7122272284960083,0.06695513432404766,XGB
delta_homo,2,0.04687202373409833,0.697796133047865,0.06625063501196209,Linear
delta_homo,2,0.0372882029826525,0.7920977325610102,0.054950247098370514,RF
delta_homo,2,0.037538662292583826,0.7807380926124834,0.056431504712017806,XGB
delta_homo,3,0.04598664334425646,0.6671005873544775,0.07024097297738215,Linear
delta_homo,3,0.038301306183989754,0.722389782224376,0.06414336325564465,RF
delta_homo,3,0.038661794122337036,0.7189042014042928,0.0645447884280524,XGB
delta_homo,4,0.04512233852955488,0.7048905225505403,0.07010837872632882,Linear
delta_homo,4,0.03765769906003642,0.728219032904057,0.0672802916431703,RF
delta_homo,4,0.039344814637527016,0.7126227561370978,0.06918381922717687,XGB
