target,split,test/mae,test/r2,test/rmse,model
gap,0,0.1170348021053719,0.8651831131396281,0.15812246843103822,Linear
gap,0,0.0631678989331836,0.9496857940277046,0.09659769198678793,RF
gap,0,0.06101428068054988,0.9564807199543193,0.08983845805643602,XGB
gap,1,0.11854077157047878,0.8593778324188452,0.16549454994263588,Linear
gap,1,0.0640311816956766,0.9376197604827643,0.11022505423351404,RF
gap,1,0.06381821016411243,0.9422584169568112,0.10604767351689633,XGB
gap,2,0.11100655020639376,0.877808800223837,0.15072053842403568,Linear
gap,2,0.06193252824256034,0.9550021726275348,0.09146359027101959,RF
gap,2,0.05997698432830262,0.9585217012689187,0.087813834162269,XGB
gap,3,0.11718921438085438,0.8569541646341705,0.16603362174221,Linear
gap,3,0.06449120112296462,0.9483675368490344,0.09975159625974835,RF
gap,3,0.06240145759571809,0.953243338842664,0.09492490645095518,XGB
gap,4,0.1156227998090955,0.8803852103186387,0.15750620026214449,Linear
gap,4,0.062425565974171815,0.9588737769786444,0.09235589625220803,RF
gap,4,0.06062146353017473,0.9621538961134628,0.0885963443858763,XGB
