target,split,test/mae,test/r2,test/rmse,model
lumo,0,0.1226407834737554,0.9175643920598845,0.16663891947908657,Linear
lumo,0,0.05788068463554096,0.980529414984857,0.08098573324267254,RF
lumo,0,0.05771334160533728,0.9806809766161633,0.08066991557437576,XGB
lumo,1,0.12289175131636805,0.9215682826738324,0.16676758509109693,Linear
lumo,1,0.06022608591821565,0.9781489005931945,0.08802426838871297,RF
lumo,1,0.05645676008595184,0.9811579980126016,0.08173899626597013,XGB
lumo,2,0.12034446607689238,0.919813067206477,0.16476068360979798,Linear
lumo,2,0.05859117586781196,0.9786303052383378,0.08505521442938271,RF
lumo,2,0.05615440458671636,0.980475367966807,0.08130049938796735,XGB
lumo,3,0.12213410048080083,0.9197072747522654,0.16737461100972822,Linear
lumo,3,0.05827883044004022,0.981032563114765,0.0813496717975847,RF
lumo,3,0.057195634326218096,0.980895227251845,0.08164365133959738,XGB
lumo,4,0.12165207560000196,0.9220786959645807,0.16506238308919832,Linear
lumo,4,0.06027755898432196,0.977409621702729,0.08887543855958814,RF
lumo,4,0.05768389647179711,0.9792981957720176,0.08507933830859088,XGB
