target,split,test/mae,test/r2,test/rmse,model
spectral_overlap,0,224.28400197525133,0.9486425962214667,304.20216075961974,Linear
spectral_overlap,0,180.86437608491352,0.9494514802352756,301.7970464382226,RF
spectral_overlap,0,169.0739288963672,0.9554987397910712,283.1697900606686,XGB
spectral_overlap,1,225.44442632774135,0.9420843486303961,306.66349492171224,Linear
spectral_overlap,1,173.95274567567643,0.9526666222286493,277.2348718975839,RF
spectral_overlap,1,169.61729291471582,0.9558629159820828,267.7108216575419,XGB
spectral_overlap,2,218.3352439897754,0.9398932984819914,322.6568540725059,Linear
spectral_overlap,2,187.97947878750688,0.9494266174849775,295.9650629569517,RF
spectral_overlap,2,182.50732816878795,0.9510457948242278,291.18865407830293,XGB
spectral_overlap,3,206.33826007049723,0.9560560341247895,279.6524384419546,Linear
spectral_overlap,3,174.3028235033929,0.9536529336754461,287.19714006291304,RF
spectral_overlap,3,171.73117298271103,0.9505004726076749,296.8038378751655,XGB
spectral_overlap,4,216.70860871075226,0.9523459411343066,299.04019956206304,Linear
spectral_overlap,4,174.6395800801354,0.958634089750618,278.61270581854296,RF
spectral_overlap,4,169.13514354922668,0.9602674283318154,273.0567790927382,XGB
