target,split,test/mae,test/r2,test/rmse
gap_extrapolated,0,0.2045283019542694,0.5983760952949524,0.2751399278640747
gap_extrapolated,1,0.200408935546875,0.5942529439926147,0.276699036359787
gap_extrapolated,2,0.2040847241878509,0.5350392460823059,0.2851700186729431
gap_extrapolated,3,0.2220604568719864,0.5027828812599182,0.3091420233249664
gap_extrapolated,4,0.2124081403017044,0.5547930002212524,0.2858015894889831
lumo,0,0.1554111689329147,0.8695912957191467,0.2095907032489776
lumo,1,0.1548827886581421,0.8725054264068604,0.2126237154006958
lumo,2,0.1537099182605743,0.8728213906288147,0.2074954658746719
lumo,3,0.1531763672828674,0.8737483620643616,0.2098793089389801
lumo,4,0.1565718799829483,0.8743316531181335,0.2096200287342071
homo_extrapolated,0,0.1747894883155822,0.7976697683334351,0.2396953850984573
homo_extrapolated,1,0.1769555211067199,0.7895938158035278,0.2564825713634491
homo_extrapolated,2,0.1623242497444152,0.8128301501274109,0.2285284698009491
homo_extrapolated,3,0.1552877426147461,0.8349854946136475,0.2287352681159973
homo_extrapolated,4,0.1719410866498947,0.8106497526168823,0.2313451021909713
homo,0,0.1287263184785843,0.8683411478996277,0.1751016974449157
homo,1,0.1405924558639526,0.8586122393608093,0.1955558061599731
homo,2,0.1230123043060302,0.8789916634559631,0.1702015846967697
homo,3,0.1284273415803909,0.8715201020240784,0.1829351037740707
homo,4,0.1375722438097,0.8555742502212524,0.1890978515148162
spectral_overlap,0,435.7452697753906,0.792862057685852,610.9287719726562
spectral_overlap,1,404.93499755859375,0.7912455201148987,582.2132568359375
spectral_overlap,2,473.4129333496094,0.7143952250480652,703.3349609375
spectral_overlap,3,391.9192199707031,0.8246947526931763,558.5556640625
spectral_overlap,4,443.1886901855469,0.787624180316925,631.2947387695312
gap,0,0.1862036138772964,0.6766531467437744,0.2448785454034805
gap,1,0.1855994164943695,0.6255584955215454,0.2700518369674682
gap,2,0.1726744323968887,0.7000793218612671,0.2361317574977874
gap,3,0.1802678108215332,0.6630947589874268,0.2548075914382934
gap,4,0.1810673326253891,0.7028515338897705,0.2482515424489975
delta_optical_lumo,0,0.0912606418132782,0.3798424005508423,0.1185072883963584
delta_optical_lumo,1,0.0977116897702217,0.3131152987480163,0.128239557147026
delta_optical_lumo,2,0.0981330201029777,0.2886333465576172,0.1306763738393783
delta_optical_lumo,3,0.0954852849245071,0.3440725803375244,0.1221969276666641
delta_optical_lumo,4,0.0969606563448906,0.3350505828857422,0.1264237165451049
optical_lumo,0,0.1626635789871215,0.8403218984603882,0.2149268686771392
optical_lumo,1,0.1623300462961197,0.8510196208953857,0.2164896577596664
optical_lumo,2,0.1570746898651123,0.8422214388847351,0.2156393527984619
optical_lumo,3,0.1746124178171157,0.833024799823761,0.2290388792753219
optical_lumo,4,0.1712362617254257,0.829386830329895,0.2289059609174728
