target,split,test/mae,test/r2,test/rmse,model
optical_lumo_extrapolated,0,0.1151085956823241,0.9037971378421432,0.1567549375075848,Linear
optical_lumo_extrapolated,0,0.092363190699334,0.9329212742394012,0.1308939684156634,RF
optical_lumo_extrapolated,0,0.0906165675876837,0.9384431323550366,0.1253907467910145,XGB
optical_lumo_extrapolated,1,0.1167797196136829,0.9072950244298352,0.1580417025979829,Linear
optical_lumo_extrapolated,1,0.0892710768238371,0.9410266417237004,0.1260515259943999,RF
optical_lumo_extrapolated,1,0.088879876638096,0.9407216271126198,0.1263770795412671,XGB
optical_lumo_extrapolated,2,0.1122079132789252,0.9048064694461088,0.1553567339895245,Linear
optical_lumo_extrapolated,2,0.0875691603351813,0.9398819500311206,0.1234607207543826,RF
optical_lumo_extrapolated,2,0.0873504801516116,0.940212163624774,0.1231211842485067,XGB
optical_lumo_extrapolated,3,0.1095106753064043,0.914751290200642,0.1533181043590325,Linear
optical_lumo_extrapolated,3,0.0887433552019419,0.9413870194365068,0.1271295286467203,RF
optical_lumo_extrapolated,3,0.0866971816126828,0.9450186832419216,0.123128078438662,XGB
optical_lumo_extrapolated,4,0.111795480267851,0.9055002943083804,0.1580286135270227,Linear
optical_lumo_extrapolated,4,0.0880829766601673,0.9386158602534008,0.1273645568288939,RF
optical_lumo_extrapolated,4,0.0856888070746647,0.9398664491108736,0.1260604713618815,XGB
lumo,0,0.1259314285568228,0.9118056064459252,0.1723611993816255,Linear
lumo,0,0.054017186697249,0.9827740194914868,0.0761747423719112,RF
lumo,0,0.0552865071128204,0.9816581029615844,0.0786033659829748,XGB
lumo,1,0.1277038228560708,0.9134086403536223,0.1752278197005435,Linear
lumo,1,0.0509057952001842,0.9851198826878806,0.0726388492279428,RF
lumo,1,0.0525289474090446,0.9845546933903682,0.0740055081101901,XGB
lumo,2,0.1241772373794949,0.9133766492274924,0.1712455418093957,Linear
lumo,2,0.0559315000748152,0.9815660777696018,0.0789970111047777,RF
lumo,2,0.0535766373961611,0.9827713675686176,0.0763707731258312,XGB
lumo,3,0.1239549068849011,0.9169449212849966,0.1702294039192687,Linear
lumo,3,0.0543594851185208,0.9834678883486064,0.0759478783629411,RF
lumo,3,0.0545825190372389,0.9836130069736254,0.0756138089715517,XGB
lumo,4,0.1262001028404121,0.9146622251879214,0.1727391038375822,Linear
lumo,4,0.0557741482992852,0.9807095058850348,0.0821280820798247,RF
lumo,4,0.0564809087247714,0.9804331569643716,0.0827142593956086,XGB
delta_homo,0,0.0436227537483041,0.7551421457933016,0.0606294577244343,Linear
delta_homo,0,0.0348085611539904,0.820171113155035,0.0519584745628383,RF
delta_homo,0,0.0355851647322626,0.8123033321030183,0.0530829372372197,XGB
delta_homo,1,0.0444554845942704,0.6741684694007448,0.0712451967563056,Linear
delta_homo,1,0.0368597818331726,0.7500480936966515,0.0624003840478965,RF
delta_homo,1,0.0379182240730751,0.6850272704689454,0.0700479633947072,XGB
delta_homo,2,0.0442335967979447,0.7270467998213379,0.0629628143247696,Linear
delta_homo,2,0.0363722943873541,0.7965869716722878,0.0543537383548251,RF
delta_homo,2,0.0371201729344492,0.7833426504355557,0.056095335486861,XGB
delta_homo,3,0.0445937813106073,0.6502443309342779,0.0719973290978484,Linear
delta_homo,3,0.0354015205611023,0.7228983010564516,0.0640845882952585,RF
delta_homo,3,0.0371381331099185,0.7238305859920027,0.0639766939138387,XGB
delta_homo,4,0.0421118999043376,0.7086506214974553,0.0696603085084091,Linear
delta_homo,4,0.0359641270103079,0.7483697015026542,0.0647380795436483,RF
delta_homo,4,0.0367631899233092,0.7364246854368524,0.0662568389482676,XGB
homo_extrapolated,0,0.1030855714898476,0.9248280330757772,0.1461026834981436,Linear
homo_extrapolated,0,0.0800520704211992,0.9518118189802632,0.1169770062258885,RF
homo_extrapolated,0,0.0818092672337118,0.9513126792745654,0.1175812773136806,XGB
homo_extrapolated,1,0.1104128393714933,0.9109204708975402,0.1668851595534567,Linear
homo_extrapolated,1,0.0831540435154008,0.9457713283437263,0.1302096720887026,RF
homo_extrapolated,1,0.0831894317737342,0.9455544494684311,0.130469788625108,XGB
homo_extrapolated,2,0.0993065671989986,0.9282842964243554,0.1414595337235936,Linear
homo_extrapolated,2,0.0789274476095852,0.9542453508287944,0.1129907016017528,RF
homo_extrapolated,2,0.0829782365239305,0.948822418074158,0.1194991927713675,XGB
homo_extrapolated,3,0.0992430430320079,0.922276777813391,0.1569820359461159,Linear
homo_extrapolated,3,0.0818181277340159,0.949368386731872,0.1267025750952775,RF
homo_extrapolated,3,0.0826694299159102,0.9469477984261616,0.1296959051194037,XGB
homo_extrapolated,4,0.1023199056578361,0.9225028635802311,0.1480011745261956,Linear
homo_extrapolated,4,0.0812914213669647,0.9467808846294826,0.122646782630008,RF
homo_extrapolated,4,0.0824768175333129,0.9413663515658822,0.1287347499024171,XGB
homo,0,0.0938430580516833,0.9257580239502252,0.1314889745140699,Linear
homo,0,0.0562012414198805,0.9737923964557031,0.0781228776537526,RF
homo,0,0.0571140337026959,0.971789143885506,0.0810536748551071,XGB
homo,1,0.0969993402595813,0.9262432043400634,0.1412467718639632,Linear
homo,1,0.0565468315025811,0.9766371005028096,0.0794951953695724,RF
homo,1,0.0573880997626957,0.9752323045987636,0.0818503064270931,XGB
homo,2,0.0949464676485722,0.924607201080362,0.1343442231543924,Linear
homo,2,0.0603305984148603,0.9717604636261912,0.082221016989626,RF
homo,2,0.059242229270022,0.9732136249934468,0.0800775975902575,XGB
homo,3,0.0993773217898267,0.916757161973008,0.1472468923957123,Linear
homo,3,0.0556465145176389,0.971359231775884,0.0863704197260907,RF
homo,3,0.0567915164622666,0.9726694107389842,0.0843717770588239,XGB
homo,4,0.0971975993463154,0.9181043112299024,0.1423909359231049,Linear
homo,4,0.0615509603867939,0.9640677959933835,0.0943178197531692,RF
homo,4,0.0596508012494701,0.9657845489764106,0.092037107052256,XGB
gap_extrapolated,0,0.1317296578716254,0.8268257000765802,0.1806695840270771,Linear
gap_extrapolated,0,0.0866471142055025,0.9080073696417384,0.131680007549352,RF
gap_extrapolated,0,0.0871714965413889,0.906428849609999,0.1328049640930461,XGB
gap_extrapolated,1,0.1351722136070191,0.7994297422687688,0.1945424117196132,Linear
gap_extrapolated,1,0.08531754126895,0.8947609525023801,0.140918977575101,RF
gap_extrapolated,1,0.0888160844556539,0.8913383489045934,0.1431921398122695,XGB
gap_extrapolated,2,0.133244577271613,0.8020010715714876,0.1860914454284946,Linear
gap_extrapolated,2,0.0868393564289724,0.8890310309896937,0.1393143217136388,RF
gap_extrapolated,2,0.08764503949983,0.8880743808907827,0.1399135390230636,XGB
gap_extrapolated,3,0.1326997146693191,0.8099889909171611,0.1911064229821232,Linear
gap_extrapolated,3,0.0849830231330713,0.903320005001815,0.1363183156023269,RF
gap_extrapolated,3,0.083640689506188,0.9121511175633998,0.1299433389734728,XGB
gap_extrapolated,4,0.1265802464747549,0.8253207506388633,0.1790211058600649,Linear
gap_extrapolated,4,0.0780758083099382,0.9271074241404484,0.1156445647207067,RF
gap_extrapolated,4,0.0774535844377156,0.9281053702840676,0.1148502123986769,XGB
delta_lumo,0,0.0542512522275018,0.7694889735013558,0.0724447873343333,Linear
delta_lumo,0,0.0363803835698562,0.8747263350905292,0.0534061389077973,RF
delta_lumo,0,0.036963366603341,0.8673808102760968,0.0549495923085529,XGB
delta_lumo,1,0.0551572472461059,0.7573145537616508,0.0755228972671296,Linear
delta_lumo,1,0.0373264899151929,0.8713517413875314,0.0549868361737219,RF
delta_lumo,1,0.0390385286550347,0.8569087823532935,0.0579913562441764,XGB
delta_lumo,2,0.053307693715987,0.7578974421903977,0.0747016884500041,Linear
delta_lumo,2,0.0361937372933882,0.8591042456959425,0.0569875101330387,RF
delta_lumo,2,0.038046294505198,0.8468514177680175,0.0594137848958004,XGB
delta_lumo,3,0.0531304994071678,0.7676799295666111,0.0720298742596633,Linear
delta_lumo,3,0.0343820718090596,0.8839642486884418,0.0509055577977057,RF
delta_lumo,3,0.036044658504921,0.877745658450529,0.0522518217642784,XGB
delta_lumo,4,0.0537791307513048,0.7688833294001665,0.0745959355677243,Linear
delta_lumo,4,0.0381300068000157,0.8543416105321144,0.0592198469603054,RF
delta_lumo,4,0.0392169973493448,0.8459269602813977,0.0609063893334459,XGB
lumo_extrapolated,0,0.1167256040290172,0.91894005701535,0.1580154536246044,Linear
lumo_extrapolated,0,0.0806560082050448,0.9583866947729928,0.1132172289892791,RF
lumo_extrapolated,0,0.0829209754289488,0.9570013314858228,0.1150863771750819,XGB
lumo_extrapolated,1,0.1186894224483664,0.9186912330419024,0.1630462066347751,Linear
lumo_extrapolated,1,0.08450431209341,0.9544534567346457,0.1220308742372718,RF
lumo_extrapolated,1,0.0836711729083246,0.9567441206785368,0.1189226516119149,XGB
lumo_extrapolated,2,0.1129407545380417,0.9183949027256086,0.1568321062169672,Linear
lumo_extrapolated,2,0.0807360634691499,0.9588853440238184,0.1113203753207797,RF
lumo_extrapolated,2,0.0829306952327343,0.9575852919243673,0.113066662456717,XGB
lumo_extrapolated,3,0.1122109994440806,0.9243593443421798,0.1547915587173091,Linear
lumo_extrapolated,3,0.0791823032326798,0.9595207360307636,0.1132363689438523,RF
lumo_extrapolated,3,0.0793933894648036,0.9610004532443372,0.1111474263816056,XGB
lumo_extrapolated,4,0.1169815181816984,0.9199898890321474,0.1586862578770989,Linear
lumo_extrapolated,4,0.0760077034070165,0.9620791987295204,0.1092460228201167,RF
