target,split,test/mae,test/r2,test/rmse,model
TC,0,0.021187726177311173,0.8186983505148661,0.030434813155668563,Linear
TC,0,0.015832033107819894,0.8843702280548185,0.02430550208142318,RF
TC,0,0.017569707788754663,0.8554432310381744,0.027176215550767192,XGB
TC,1,0.023162422892893712,0.622002322964601,0.03829253584012274,Linear
TC,1,0.01599678546828572,0.7956592712714152,0.02815444891114918,RF
TC,1,0.01650531000453457,0.7912661102712788,0.02845548847018377,XGB
TC,2,0.022436986419609013,0.7171712983248952,0.038477552252971954,Linear
TC,2,0.015528388749409518,0.8426442382626032,0.02870033866870428,RF
TC,2,0.01745290831846334,0.8032305728043357,0.03209404870597853,XGB
TC,3,0.02093215001088537,0.773816072710995,0.029946793646556825,Linear
TC,3,0.013848487429161897,0.8903535795633332,0.020850510315680762,RF
TC,3,0.014792955042682375,0.8776305368962783,0.022027032218492098,XGB
TC,4,0.023106230368389602,0.656617325012286,0.03513102438956663,Linear
TC,4,0.016843735022895236,0.7958092532877701,0.02709066416732016,RF
TC,4,0.018057377211897933,0.7825786239686574,0.027954565338857394,XGB
