target,split,test/mae,test/r2,test/rmse,model
TC,0,0.0211877261773111,0.8186983505148661,0.0304348131556685,Linear
TC,0,0.0158320331078198,0.8843702280548185,0.0243055020814231,RF
TC,0,0.0175697077887546,0.8554432310381744,0.0271762155507671,XGB
TC,1,0.0231624228928937,0.622002322964601,0.0382925358401227,Linear
TC,1,0.0159967854682857,0.7956592712714152,0.0281544489111491,RF
TC,1,0.0165053100045345,0.7912661102712788,0.0284554884701837,XGB
TC,2,0.022436986419609,0.7171712983248952,0.0384775522529719,Linear
TC,2,0.0155283887494095,0.8426442382626032,0.0287003386687042,RF
TC,2,0.0174529083184633,0.8032305728043357,0.0320940487059785,XGB
TC,3,0.0209321500108853,0.773816072710995,0.0299467936465568,Linear
TC,3,0.0138484874291618,0.8903535795633332,0.0208505103156807,RF
TC,3,0.0147929550426823,0.8776305368962783,0.022027032218492,XGB
TC,4,0.0231062303683896,0.656617325012286,0.0351310243895666,Linear
TC,4,0.0168437350228952,0.7958092532877701,0.0270906641673201,RF
TC,4,0.0180573772118979,0.7825786239686574,0.0279545653388573,XGB
