target,split,test/mae,test/r2,test/rmse,model
TC,0,0.021187706509190832,0.8186985341296006,0.030434797744111175,Linear
TC,0,0.015796481097222745,0.8845785335440157,0.02428359919391321,RF
TC,0,0.01907499978784429,0.8350591356387623,0.029029121646188153,XGB
TC,1,0.02055871637472244,0.7892910177167445,0.02858979799438341,Linear
TC,1,0.010698798426333339,0.9410349852010255,0.015124003458084042,RF
TC,1,0.01290656648792174,0.9036170736746018,0.019336132617906822,XGB
TC,2,0.01984857347598613,0.7936324353494053,0.032867480672199675,Linear
TC,2,0.011490938616628558,0.9402093725273342,0.017691402049339566,RF
TC,2,0.012817601079974,0.9338415880705194,0.018609651172403652,XGB
TC,3,0.016572982497494414,0.8439200728991374,0.024876712469156775,Linear
TC,3,0.011392423805114278,0.9354639430006193,0.015996341733747883,RF
TC,3,0.012842000279779763,0.9125752807534838,0.018618152484392813,XGB
TC,4,0.021597819848463675,0.7573399723974269,0.02953253621486147,Linear
TC,4,0.012055223178990477,0.9216528789239373,0.016780818695154857,RF
TC,4,0.012944392616066376,0.9038109093005124,0.018593644939155884,XGB
