test/mae,test/rmse,test/r2,split,target
2.9368043552580043e-09,4.2140446687710664e-09,1.0,0,Poly Diffusivity
3.4379312729981852e-09,5.066528974140283e-09,1.0,1,Poly Diffusivity
3.567174555740848e-09,4.765807748441375e-09,1.0,2,Poly Diffusivity
3.013417071429103e-09,4.205294334980181e-09,1.0,3,Poly Diffusivity
3.0382056870337233e-09,4.385906304804621e-09,1.0,4,Poly Diffusivity
4.135527476023526e-09,5.3598614435657055e-09,1.0,0,Li Diffusivity
4.492500149666512e-09,5.761835897288847e-09,1.0,1,Li Diffusivity
4.131174513588576e-09,5.280547110686484e-09,1.0,2,Li Diffusivity
4.295430677814238e-09,5.631652033599721e-09,1.0,3,Li Diffusivity
4.347525894843329e-09,5.867662800085327e-09,1.0,4,Li Diffusivity
6.332151247789852e-09,8.380883542713491e-09,1.0,0,TFSI Diffusivity
6.4220446738261225e-09,8.909923465694192e-09,1.0,1,TFSI Diffusivity
6.742237879109325e-09,8.754536651167655e-09,1.0,2,TFSI Diffusivity
6.935561458476513e-09,9.172265613699436e-09,1.0,3,TFSI Diffusivity
6.559146559226292e-09,9.157698599437936e-09,1.0,4,TFSI Diffusivity
1.4672746146970894e-05,2.049876275123097e-05,1.0,0,Conductivity
1.7305084838881157e-05,2.3355432858807035e-05,1.0,1,Conductivity
1.639251786400564e-05,2.1801211914862503e-05,1.0,2,Conductivity
1.7706955986795947e-05,2.3240441805683076e-05,1.0,3,Conductivity
1.6503989172633737e-05,2.3089585738489404e-05,1.0,4,Conductivity
