test/mae,test/rmse,test/r2,split,target
7.072658014806166e-09,9.753482466123842e-09,1.0,0,TFSI Diffusivity
7.846471028472024e-09,1.069342392412409e-08,1.0,1,TFSI Diffusivity
7.733454765457282e-09,1.108204550348546e-08,1.0,2,TFSI Diffusivity
8.885571389782854e-09,1.1334921445893542e-08,1.0,3,TFSI Diffusivity
7.928900203069134e-09,1.1526720022914104e-08,1.0,4,TFSI Diffusivity
4.590154478734121e-09,5.984502671196878e-09,1.0,0,Li Diffusivity
4.777954476509194e-09,6.444946798467299e-09,1.0,1,Li Diffusivity
4.818147658625094e-09,6.165891353049346e-09,1.0,2,Li Diffusivity
5.550378823215851e-09,6.996559331895469e-09,1.0,3,Li Diffusivity
4.97960783718554e-09,6.7768186617911405e-09,1.0,4,Li Diffusivity
5.882539788615304e-09,7.920696099006364e-09,1.0,0,Poly Diffusivity
5.0546442587062765e-09,6.8632628469345044e-09,1.0,1,Poly Diffusivity
6.053716639087271e-09,7.866094442476879e-09,1.0,2,Poly Diffusivity
5.104543898681868e-09,6.881338165953821e-09,1.0,3,Poly Diffusivity
5.483439480258312e-09,7.960681891461263e-09,1.0,4,Poly Diffusivity
