test/mae,test/rmse,test/r2,split,target
2.9879998475479393e-09,4.221701210838091e-09,1.0,0,Poly Diffusivity
3.498719092220881e-09,5.139943581866646e-09,1.0,1,Poly Diffusivity
3.3518738895566003e-09,4.564377764637584e-09,1.0,2,Poly Diffusivity
3.112924362724811e-09,4.387021412810554e-09,1.0,3,Poly Diffusivity
3.0440534537490294e-09,4.414328902413445e-09,1.0,4,Poly Diffusivity
4.079085513808422e-09,5.357871923905577e-09,1.0,0,Li Diffusivity
4.380823703797887e-09,5.7433444666799005e-09,1.0,1,Li Diffusivity
4.265365394218179e-09,5.3126671950565205e-09,1.0,2,Li Diffusivity
4.554630450570585e-09,5.763457266994011e-09,1.0,3,Li Diffusivity
4.443111656371457e-09,5.848739270675196e-09,1.0,4,Li Diffusivity
6.026135590531112e-09,8.202149182068297e-09,1.0,0,TFSI Diffusivity
6.441814193181017e-09,8.881799296034387e-09,1.0,1,TFSI Diffusivity
6.5661200920885684e-09,8.712490284779051e-09,1.0,2,TFSI Diffusivity
7.458734962995095e-09,9.60409707317922e-09,1.0,3,TFSI Diffusivity
6.582766776119797e-09,9.165494141427644e-09,1.0,4,TFSI Diffusivity
0.1595934629440307,0.2077491283416748,0.4011250734329223,0,Transference Number
0.1633056104183197,0.2179651409387588,0.4380140304565429,1,Transference Number
0.1570507735013961,0.2130321711301803,0.4315970540046692,2,Transference Number
0.1667770445346832,0.2206964343786239,0.4705201387405395,3,Transference Number
0.1538989245891571,0.211265817284584,0.3899003267288208,4,Transference Number
