test/mae,test/rmse,test/r2,split,target
4.1748293710952575e-09,5.478862696861597e-09,0.5717343688011169,0,Li Diffusivity
4.333821745916566e-09,5.68185809513011e-09,0.4940935373306274,1,Li Diffusivity
4.355044769255301e-09,5.3834727786750144e-09,0.5861247181892395,2,Li Diffusivity
4.378498008605902e-09,5.614324116720581e-09,0.5278458595275879,3,Li Diffusivity
4.3760652879143436e-09,5.765524058176652e-09,0.5358561873435974,4,Li Diffusivity
6.196355872845061e-09,8.365230286244696e-09,0.6885846257209778,0,TFSI Diffusivity
6.345711067723414e-09,8.748207491748872e-09,0.6514629125595093,1,TFSI Diffusivity
6.972432409213525e-09,8.998839007290371e-09,0.6776797771453857,2,TFSI Diffusivity
6.358435555853248e-09,8.599995382496672e-09,0.6404904723167419,3,TFSI Diffusivity
6.7275309767467215e-09,9.230505249036014e-09,0.653719425201416,4,TFSI Diffusivity
