test/mae,test/rmse,test/r2,split,target
0.0129778608679771,0.0183977950364351,0.9985420107841492,0,IP vs SHE (eV)
0.0124493455514311,0.0176335610449314,0.998718798160553,1,IP vs SHE (eV)
0.0130061563104391,0.019117422401905,0.9984145760536194,2,IP vs SHE (eV)
0.0126070221886038,0.0183254815638065,0.9985936880111694,3,IP vs SHE (eV)
0.0125514268875122,0.0185005590319633,0.998460054397583,4,IP vs SHE (eV)
0.0165068935602903,0.0231184381991624,0.9984530210494996,0,EA vs SHE (eV)
0.0190321262925863,0.0275347381830215,0.9979214668273926,1,EA vs SHE (eV)
0.0166599806398153,0.0245715826749801,0.9982349276542664,2,EA vs SHE (eV)
0.0168883688747882,0.0240539200603961,0.998407781124115,3,EA vs SHE (eV)
0.0163749810308218,0.0234684608876705,0.9984636902809144,4,EA vs SHE (eV)
