test/mae,test/rmse,test/r2,split,target
0.0393314771354198,0.0589948631823062,0.985008180141449,0,IP vs SHE (eV)
0.0401377975940704,0.0620048269629478,0.9841588735580444,1,IP vs SHE (eV)
0.0391837321221828,0.0619855336844921,0.9833325743675232,2,IP vs SHE (eV)
0.0387248694896698,0.0610100328922271,0.9844123125076294,3,IP vs SHE (eV)
0.0391307547688484,0.0602729767560958,0.9836549162864684,4,IP vs SHE (eV)
0.0404515676200389,0.0607774518430233,0.9893083572387696,0,EA vs SHE (eV)
0.04242654889822,0.0635621547698974,0.9889237880706788,1,EA vs SHE (eV)
0.0449215099215507,0.0666688680648803,0.9870060682296752,2,EA vs SHE (eV)
0.0416114665567874,0.0621625073254108,0.9893662333488464,3,EA vs SHE (eV)
0.0413722582161426,0.0630626231431961,0.9889069199562072,4,EA vs SHE (eV)
