test/mae,test/rmse,test/r2,split,target
0.1268960535526275,0.1660707294940948,0.8812011480331421,0,IP vs SHE (eV)
0.130046859383583,0.1709079891443252,0.8796463012695312,1,IP vs SHE (eV)
0.1291805952787399,0.1690679937601089,0.8760029673576355,2,IP vs SHE (eV)
0.1240746974945068,0.1655510365962982,0.885226309299469,3,IP vs SHE (eV)
0.1253234148025512,0.1642171889543533,0.8786669373512268,4,IP vs SHE (eV)
0.1351792812347412,0.1777912080287933,0.9085084795951844,0,EA vs SHE (eV)
0.1366668939590454,0.178949549794197,0.912208080291748,1,EA vs SHE (eV)
0.1328939646482467,0.1730918735265731,0.9124112725257874,2,EA vs SHE (eV)
0.1321169883012771,0.1740646809339523,0.9166219830513,3,EA vs SHE (eV)
0.131498783826828,0.1757709681987762,0.91382098197937,4,EA vs SHE (eV)
