test/mae,test/rmse,test/r2,split,target
0.0641570389270782,0.0960338711738586,0.9513013958930968,0,IP vs SHE (eV)
0.0749108120799064,0.1151699498295784,0.9492095708847046,1,IP vs SHE (eV)
0.0622985213994979,0.0904108136892318,0.9646944999694824,2,IP vs SHE (eV)
0.0604242086410522,0.0941806212067604,0.9640017747879028,3,IP vs SHE (eV)
0.0561892203986644,0.0877250507473945,0.9667251706123352,4,IP vs SHE (eV)
0.0667499601840972,0.0992890074849128,0.9712391495704652,0,EA vs SHE (eV)
0.0892008617520332,0.129838153719902,0.9523401260375975,1,EA vs SHE (eV)
0.0625234767794609,0.0975121408700943,0.9757120609283448,2,EA vs SHE (eV)
0.0607508011162281,0.0927439928054809,0.974889874458313,3,EA vs SHE (eV)
0.0675742626190185,0.1080883368849754,0.9673852920532228,4,EA vs SHE (eV)
