test/mae,test/rmse,test/r2,split,target
0.0152507070451974,0.0215687006711959,0.9986534714698792,0,EA vs SHE (eV)
0.0155119197443127,0.0223610289394855,0.9986292123794556,1,EA vs SHE (eV)
0.0165573004633188,0.0239887963980436,0.9983176589012146,2,EA vs SHE (eV)
0.0167394708842039,0.0236665159463882,0.9984586834907532,3,EA vs SHE (eV)
0.015389940701425,0.0221486948430538,0.9986316561698914,4,EA vs SHE (eV)
0.0117669757455587,0.0172744393348693,0.9987146258354188,0,IP vs SHE (eV)
0.0113057624548673,0.0164544880390167,0.9988844394683838,1,IP vs SHE (eV)
0.0115718627348542,0.0172899104654788,0.9987031817436218,2,IP vs SHE (eV)
0.0116303879767656,0.0170074794441461,0.9987886548042296,3,IP vs SHE (eV)
0.0119090098887681,0.0176831893622875,0.9985930919647216,4,IP vs SHE (eV)
