test/mae,test/rmse,test/r2,split,target
0.0371019914746284,0.0576557964086532,0.9856809973716736,0,IP vs SHE (eV)
0.0388842187821865,0.0610071755945682,0.9846645593643188,1,IP vs SHE (eV)
0.038556195795536,0.0613473020493984,0.9836739897727966,2,IP vs SHE (eV)
0.0379885733127594,0.0607092194259166,0.9845656752586364,3,IP vs SHE (eV)
0.0375930666923522,0.05906767770648,0.9843021035194396,4,IP vs SHE (eV)
0.0404142290353775,0.0608045011758804,0.9892988204956056,0,EA vs SHE (eV)
0.0415839478373527,0.0632567629218101,0.9890300035476683,1,EA vs SHE (eV)
0.0415929593145847,0.0649014189839363,0.9876858592033386,2,EA vs SHE (eV)
0.0413569658994674,0.061595469713211,0.9895593523979188,3,EA vs SHE (eV)
0.0409957915544509,0.0629238784313201,0.9889556765556335,4,EA vs SHE (eV)
