test/mae,test/rmse,test/r2,split,target
4.132137298995531e-09,5.591450857878044e-09,0.553952157497406,0,Li Diffusivity
4.4404493415584065e-09,5.762700538980425e-09,0.4795948266983032,1,Li Diffusivity
4.285737542630841e-09,5.3337405603315355e-09,0.5937360525131226,2,Li Diffusivity
4.434491440719057e-09,5.828320936984711e-09,0.4911665022373199,3,Li Diffusivity
4.452887392147886e-09,5.864828178658854e-09,0.5197298526763916,4,Li Diffusivity
0.1668567508459091,0.2176108658313751,0.3429190218448639,0,Transference Number
0.1767760515213012,0.2383466809988021,0.3279995024204254,1,Transference Number
0.1726450026035308,0.2262101471424102,0.3591004312038421,2,Transference Number
0.1689672768115997,0.2283450812101364,0.4331839680671692,3,Transference Number
0.1569606512784958,0.2157464176416397,0.3637474775314331,4,Transference Number
3.0534041961516323e-09,4.26933155495135e-09,0.8629851341247559,0,Poly Diffusivity
3.2364941837670358e-09,4.726894431428263e-09,0.8165267705917358,1,Poly Diffusivity
3.3118077169547173e-09,4.517568541473338e-09,0.8593077659606934,2,Poly Diffusivity
3.081912058888747e-09,4.354635763093029e-09,0.8436176776885986,3,Poly Diffusivity
2.9938169721077652e-09,4.3519654546742e-09,0.8448964357376099,4,Poly Diffusivity
1.5321704267989844e-05,2.088059227389749e-05,0.6334555745124817,0,Conductivity
1.609468017704785e-05,2.1930376533418897e-05,0.5949849486351013,1,Conductivity
1.6015021174098365e-05,2.1522302631638013e-05,0.6700837016105652,2,Conductivity
1.6259620679193176e-05,2.1493919120985083e-05,0.6227264404296875,3,Conductivity
1.7045442291419022e-05,2.3793581931386143e-05,0.5443825125694275,4,Conductivity
6.397634422228293e-09,8.453517885698147e-09,0.6819764971733093,0,TFSI Diffusivity
6.831851528943389e-09,9.12297171140608e-09,0.6209613680839539,1,TFSI Diffusivity
6.2879386142356e-09,8.537972995270593e-09,0.7098489999771118,2,TFSI Diffusivity
6.4216654216409105e-09,8.736220635796599e-09,0.6290110349655151,3,TFSI Diffusivity
6.403115371256263e-09,9.108952703229534e-09,0.6627795100212097,4,TFSI Diffusivity
