test/mae,test/rmse,test/r2,split,target
2.9048505822970583e-09,4.136826881051547e-09,0.8713580369949341,0,Poly Diffusivity
3.360943967578578e-09,4.892849680970812e-09,0.8034176230430603,1,Poly Diffusivity
3.330049125338519e-09,4.5101118395507456e-09,0.8597718477249146,2,Poly Diffusivity
3.004869686407119e-09,4.1462970834516e-09,0.8582233190536499,3,Poly Diffusivity
3.035645734783543e-09,4.354232530090485e-09,0.844734787940979,4,Poly Diffusivity
0.1661734133958816,0.2192649394273758,0.3328920006752014,0,Transference Number
0.1793393492698669,0.2431317120790481,0.3007465898990631,1,Transference Number
0.175837367773056,0.242030844092369,0.2663190066814422,2,Transference Number
0.1694150418043136,0.2301387935876846,0.4242441058158874,3,Transference Number
0.1752450466156005,0.2362784892320633,0.2368837743997573,4,Transference Number
6.218978221284033e-09,8.517091920623443e-09,0.6771752238273621,0,TFSI Diffusivity
6.602368873842579e-09,9.414304891208758e-09,0.5963663458824158,1,TFSI Diffusivity
6.434672794597418e-09,8.789481142912337e-09,0.6925028562545776,2,TFSI Diffusivity
6.528534157723698e-09,8.863629830102582e-09,0.6181110739707947,3,TFSI Diffusivity
6.505906924303417e-09,9.384669041878624e-09,0.6420559883117676,4,TFSI Diffusivity
4.010010101751504e-09,5.341464159869247e-09,0.5929450392723083,0,Li Diffusivity
4.649795659616984e-09,6.2439973191885664e-09,0.3890371322631836,1,Li Diffusivity
4.449365764713775e-09,5.530091051753061e-09,0.5632739663124084,2,Li Diffusivity
4.509339124325606e-09,5.831054750160547e-09,0.4906889796257019,3,Li Diffusivity
4.419164145730292e-09,5.761610299970243e-09,0.5364861488342285,4,Li Diffusivity
1.636813613004051e-05,2.1781041141366583e-05,0.6011604070663452,0,Conductivity
1.6864405552041717e-05,2.2642328985966745e-05,0.5682610869407654,1,Conductivity
1.5713727407273836e-05,2.1598414605250585e-05,0.6677461266517639,2,Conductivity
1.6182026229216717e-05,2.1295927581377327e-05,0.6296449899673462,3,Conductivity
1.711199183773715e-05,2.4401600967394188e-05,0.520799458026886,4,Conductivity
